Name abbreviated,Name,SDSS Name,Type,Mass,log(q),log(Al/He),error log(Al/He),log(Ti/He),error log(Ti/He),log(Ca/He),error log(Ca/He),log(Ni/He),error log(Ni/He),log(Fe/He),error log(Fe/He),log(Cr/He),error log(Cr/He),log(Mg/He),error log(Mg/He),log(Si/He),error log(Si/He),log(Na/He),error log(Na/He),log(O/He),error log(O/He),log(C/He),error log(C/He),log(N/He),error log(N/He)
J1102+0214,J110234.21+021459.2,SDSSJ1102+0214,He,0.6,-5.35,0,0,0,0,-9.8,0.1,0,0,-8.6,0.4,0,0,-8,0.5,0,0,0,0,0,0,0,0,0,0
J1103+4144,J110304.15+414434.9,SDSSJ1103+4144,He,0.6,-5.41,0,0,0,0,-9.4,0.1,0,0,-8.3,0.2,0,0,-7.7,0.2,0,0,-9.23,0.10927814,0,0,0,0,0,0
J1105+0228,J110556.17+022849.0,SDSSJ1105+0228,He,0.6,-5.46,0,0,0,0,-9.1,0.4,0,0,-8,0.4,0,0,-7.6,0.2,0,0,0,0,0,0,0,0,0,0
J1112+0700,J111215.06+070052.4,SDSSJ1112+0700,He,0.6,-5.2,0,0,0,0,-9.7,0.2,0,0,-8.5,0.5,0,0,-7.6,0.3,0,0,-9.93,0.144953624,0,0,0,0,0,0
J1132+3323,J113209.59+332353.0,SDSSJ1132+3323,He,0.6,-5.5,0,0,-8.77,0.281267162,-8.3,0.2,0,0,-7.1,0.2,-8.95,0.281267162,-6.8,0.2,0,0,-8.78,0.267602721,0,0,0,0,0,0
J1134+1542,J113410.85+154245.9,SDSSJ1134+1542,He,0.6,-5.37,0,0,0,0,-8.5,0.1,0,0,-7.3,0.4,0,0,-6.9,0.1,0,0,-8.48,0.23148293,0,0,0,0,0,0
J1144+3720,J114408.05+372007.8,SDSSJ1144+3720,He,0.6,-5.26,0,0,0,0,-8.5,0.2,0,0,-7.6,0.4,0,0,-7,0.2,0,0,-8.58,0.162780782,0,0,0,0,0,0
J1144+1218,J114441.92+121829.2,SDSSJ1144+1218,He,0.6,-5.47,0,0,0,0,-9.3,0.1,-10.1,0.138393536,-8.3,0.2,-10.19,0.138393536,-7.8,0.2,0,0,0,0,0,0,0,0,0,0
J1147+5429,J114709.09+542940.8,SDSSJ1147+5429,He,0.6,-5.52,0,0,0,0,-9.5,0.5,0,0,-8.3,0.5,0,0,-8.3,0.5,0,0,-10.18,0.389775225,0,0,0,0,0,0
J1149+0519,J114944.95+051947.7,SDSSJ1149+0519,He,0.6,-5.29,0,0,0,0,-8.2,0.1,0,0,-7.5,0.2,0,0,-7.3,0.1,0,0,0,0,0,0,0,0,0,0
J1150+4928,J115015.74+492843.7,SDSSJ1150+4928,He,0.6,-5.23,0,0,0,0,-9.1,0.3,0,0,-7.9,0.5,0,0,-7.5,0.5,0,0,0,0,0,0,0,0,0,0
J1152+5101,J115207.15+510126.2,SDSSJ1152+5101,He,0.6,-5.4,0,0,0,0,-10.4,0.3,0,0,-9.2,0.5,0,0,-9.1,0.5,0,0,0,0,0,0,0,0,0,0
J1157+6138,J115748.35+613845.9,SDSSJ1157+6138,He,0.6,-5.3,0,0,0,0,-9.3,0.3,0,0,-8.2,0.5,0,0,-7.6,0.5,0,0,0,0,0,0,0,0,0,0
J1158+0454,J115818.76+045447.5,SDSSJ1158+0454,He,0.6,-5.62,0,0,-9.27,0.228177752,-8.5,0.2,0,0,-7.5,0.3,-9.15,0.228177752,-7,0.1,0,0,-8.78,0.211104444,0,0,0,0,0,0
J1158+1845,J115809.38+184557.3,SDSSJ1158+1845,He,0.6,-5.36,0,0,0,0,-8.6,0.2,0,0,-7.4,0.2,0,0,-6.4,0.1,0,0,0,0,0,0,0,0,0,0
J1158+4712,J115822.32+471214.9,SDSSJ1158+4712,He,0.6,-5.25,0,0,0,0,-8.3,0.1,0,0,-6.9,0.2,0,0,-6.7,0.1,0,0,0,0,0,0,0,0,0,0
J1158+5448,J115844.35+544837.5,SDSSJ1158+5448,He,0.6,-5.4,0,0,0,0,-9,0.3,0,0,-7.8,0.4,0,0,-7.3,0.2,0,0,0,0,0,0,0,0,0,0
J1158+5942,J115809.88+594210.3,SDSSJ1158+5942,He,0.6,-5.43,0,0,0,0,-8.9,0.3,0,0,-8.4,0.3,0,0,-7.7,0.2,0,0,0,0,0,0,0,0,0,0
J1205+3536,J120548.97+353642.4,SDSSJ1205+3536,He,0.6,-5.46,0,0,0,0,-8.9,0.1,0,0,-7.6,0.1,0,0,-7.2,0.1,0,0,-8.88,0.152860513,0,0,0,0,0,0
J1211+2326,J121106.43+232623.0,SDSSJ1211+2326,He,0.6,-5.4,0,0,0,0,-8.3,0.2,0,0,-6.9,0.2,0,0,-6.7,0.1,0,0,-8.28,0.225617437,0,0,0,0,0,0
J1217+1157,J121731.31+115715.9,SDSSJ1217+1157,He,0.6,-5.35,0,0,0,0,-9.6,0.2,0,0,-8.7,0.3,0,0,-7.8,0.2,0,0,0,0,0,0,0,0,0,0
J1218+0023,J121837.12+002304.0,SDSSJ1218+0023,He,0.6,-5.32,0,0,0,0,-9.2,0.2,0,0,-8.5,0.3,0,0,-7.8,0.2,0,0,0,0,0,0,0,0,0,0
J1220+0929,J122035.76+092948.1,SDSSJ1220+0929,He,0.6,-5.39,0,0,0,0,-8.4,0.1,0,0,-7.4,0.1,-8.95,0.16582988,-6.8,0.1,0,0,-8.48,0.141419762,0,0,0,0,0,0
J1224+2838,J122437.07+283853.0,SDSSJ1224+2838,He,0.6,-5.38,0,0,0,0,-10.2,0.1,0,0,-9.1,0.5,0,0,-9,0.5,0,0,0,0,0,0,0,0,0,0
J1229+0743,J122943.92+074311.8,SDSSJ1229+0743,He,0.6,-5.53,0,0,-10.57,0.153707272,-8.9,0.2,0,0,-7.3,0.2,-9.55,0.153707272,-7.3,0.2,0,0,-9.18,0.126987894,0,0,0,0,0,0
J1230+3143,J123024.04+314339.7,SDSSJ1230+3143,He,0.6,-5.31,0,0,0,0,-9.6,0.3,0,0,-8.3,0.3,0,0,-8.1,0.3,0,0,0,0,0,0,0,0,0,0
J1234+5208,J123415.21+520808.1,SDSSJ1234+5208,He,0.6,-5.37,0,0,-8.97,0.124930923,-7.5,0.1,0,0,-6.3,0.1,-8.05,0.124930923,-5.7,0.1,0,0,-8,0.090042964,0,0,0,0,0,0
J1238+2149,J123826.93+214937.7,SDSSJ1238+2149,He,0.6,-5.51,0,0,0,0,-8.9,0.3,0,0,-7.9,0.3,0,0,-7.3,0.2,0,0,-8.68,0.21411469,0,0,0,0,0,0
J1245+0822,J124547.11+082231.4,SDSSJ1245+0822,He,0.6,-5.5,0,0,0,0,-8.3,0.2,0,0,-7.6,0.2,0,0,-7,0.2,0,0,-8.88,0.18249123,0,0,0,0,0,0
J1254+3551,J125454.93+355145.7,SDSSJ1254+3551,He,0.6,-5.31,0,0,0,0,-9.7,0.2,0,0,-8.1,0.2,0,0,-7.6,0.2,0,0,0,0,0,0,0,0,0,0
J1257+3238,J125710.13+323848.5,SDSSJ1257+3238,He,0.6,-5.56,0,0,0,0,-8.8,0.2,0,0,-7.6,0.4,0,0,-7.2,0.2,0,0,-9.48,0.407263776,0,0,0,0,0,0
J1257-0310,J125720.87-031025.1,SDSSJ1257-0310,He,0.6,-5.45,0,0,0,0,-8.6,0.1,0,0,-7.4,0.2,0,0,-7.1,0.1,0,0,0,0,0,0,0,0,0,0
J1259+3112,J125922.03+311215.2,SDSSJ1259+3112,He,0.6,-5.35,0,0,0,0,-9.8,0.3,0,0,-8.6,0.4,0,0,-8.6,0.4,0,0,0,0,0,0,0,0,0,0
J1259+4729,J125945.32+472953.6,SDSSJ1259+4729,He,0.6,-5.41,0,0,0,0,-9.8,0.4,0,0,-8.7,0.5,0,0,-8.6,0.5,0,0,0,0,0,0,0,0,0,0
J1303+4055,J130328.07+405545.5,SDSSJ1303+4055,He,0.6,-5.39,0,0,0,0,-8.7,0.3,0,0,-7.9,0.3,0,0,-7.2,0.2,0,0,0,0,0,0,0,0,0,0
J1308+0957,J130826.36+095724.0,SDSSJ1308+0957,He,0.6,-5.23,0,0,0,0,-8.1,0.2,0,0,-6.9,0.3,0,0,-7,0.2,0,0,0,0,0,0,0,0,0,0
J1308+0258,J130830.03+025844.5,SDSSJ1308+0258,He,0.6,-5.41,0,0,0,0,-9.3,0.2,0,0,-7.8,0.2,0,0,-7.9,0.2,0,0,0,0,0,0,0,0,0,0
J1314+3748,J131420.49+374806.5,SDSSJ1314+3748,He,0.6,-5.53,0,0,0,0,-8.2,0.4,0,0,-7.1,0.4,0,0,-6.9,0.2,0,0,-8.43,0.32949592,0,0,0,0,0,0
J1316+1918,J131612.87+191806.5,SDSSJ1316+1918,He,0.6,-5.38,0,0,0,0,-10.3,0.4,0,0,-9.2,0.5,0,0,-9.1,0.5,0,0,0,0,0,0,0,0,0,0
J1319+3641,J131900.19+364149.8,SDSSJ1319+3641,He,0.6,-5.22,0,0,0,0,-8.6,0.3,0,0,-7.4,0.3,0,0,-7.2,0.2,0,0,0,0,0,0,0,0,0,0
J1320+0204,J132005.53+020419.0,SDSSJ1320+0204,He,0.6,-5.33,0,0,0,0,-8.3,0.3,0,0,-7.1,0.3,0,0,-7,0.3,0,0,-7.98,0.271491521,0,0,0,0,0,0
J1321-0237,J132144.04-023751.4,SDSSJ1321-0237,He,0.6,-5.6,0,0,0,0,-8.7,0.3,0,0,-7.3,0.3,-9.55,0.279203445,-6.9,0.2,0,0,-8.58,0.265432786,0,0,0,0,0,0
J1329+1301,J132941.79+130131.9,SDSSJ1329+1301,He,0.6,-5.33,0,0,0,0,-8.9,0.2,0,0,-8,0.3,0,0,-7.4,0.1,0,0,-9.58,0.138462722,0,0,0,0,0,0
J1336+3547,J133624.26+354751.2,SDSSJ1336+3547,He,0.6,-5.38,0,0,0,0,-8.9,0.1,0,0,-7.9,0.1,-9.8,0.109103573,-7.1,0.1,0,0,-9.4,0.066359549,0,0,0,0,0,0
J1339+2643,J133905.98+264322.9,SDSSJ1339+2643,He,0.6,-5.35,0,0,0,0,-9,0.2,0,0,-8.4,0.2,0,0,-7.6,0.1,0,0,0,0,0,0,0,0,0,0
J1340+2702,J134050.31+270219.0,SDSSJ1340+2702,He,0.6,-5.43,0,0,0,0,-7,0.1,0,0,-5.6,0.1,0,0,-5.1,0.1,0,0,-7.43,0.211104444,0,0,0,0,0,0
J1342+1813,J134203.60+181332.8,SDSSJ1342+1813,He,0.6,-5.52,0,0,0,0,-9,0.5,0,0,-7.9,0.5,0,0,-7.8,0.5,0,0,0,0,0,0,0,0,0,0
J1345+1153,J134520.99+115357.6,SDSSJ1345+1153,He,0.6,-5.58,0,0,-9.07,0.223728185,-8.1,0.1,0,0,-6.9,0.2,-8.7,0.223728185,-7,0.1,0,0,0,0,0,0,0,0,0,0
J1347+1415,J134711.47+141528.0,SDSSJ1347+1415,He,0.6,-5.35,0,0,0,0,-8.6,0.2,0,0,-7.3,0.2,-8.85,0.138856505,-7.1,0.1,0,0,0,0,0,0,0,0,0,0
J1350+1058,J135054.02+105808.0,SDSSJ1350+1058,He,0.6,-5.38,0,0,0,0,-9.5,0.3,0,0,-8.3,0.5,0,0,-8.3,0.5,0,0,0,0,0,0,0,0,0,0
J1351+2645,J135123.86+264546.5,SDSSJ1351+2645,He,0.6,-5.59,0,0,-9.07,0.189654297,-8.5,0.2,0,0,-7.8,0.3,-9.65,0.189654297,-7.9,0.2,0,0,-10.18,0.168726857,0,0,0,0,0,0
J1356+2416,J135632.63+241606.0,SDSSJ1356+2416,He,0.6,-5.39,0,0,0,0,-9.1,0.2,0,0,-8.2,0.2,0,0,-7.3,0.2,0,0,0,0,0,0,0,0,0,0
J1356+0236,J135654.01+023641.5,SDSSJ1356+0236,He,0.6,-5.27,0,0,0,0,-8,0.1,0,0,-6.7,0.2,0,0,-6.3,0.1,0,0,-8.48,0.142619273,0,0,0,0,0,0
J1401+3659,J140137.31+365909.9,SDSSJ1401+3659,He,0.6,-5.31,0,0,0,0,-10.1,0.1,0,0,-9.2,0.3,0,0,-8.1,0.3,0,0,0,0,0,0,0,0,0,0
J1404+3620,J140410.72+362056.8,SDSSJ1404+3620,He,0.6,-5.41,0,0,0,0,-8.7,0.1,0,0,-8.3,0.2,0,0,-7.3,0.1,0,0,0,0,0,0,0,0,0,0
J1405+2542,J140525.20+254212.4,SDSSJ1405+2542,He,0.6,-5.37,0,0,0,0,-9.5,0.4,0,0,-8.4,0.5,0,0,-7.8,0.3,0,0,0,0,0,0,0,0,0,0
J1405+1549,J140557.10+154940.5,SDSSJ1405+1549,He,0.6,-5.3,0,0,0,0,-8.5,0.1,0,0,-7.3,0.1,0,0,-6.9,0.1,0,0,-9.18,0.102094643,0,0,0,0,0,0
