T:,5000,5250,5500,5750,6000,6250,6500,6750,7000,7250,7500,7750,8000,8250,8500,8750,9000,9250,9500,9750,10000,10250,10500,10750,11000,11250,11500,11750,12000,12250,12500,12750,13000,13250,13500,13750,14000,14250,14500,14750,15000,15250,15500,15750,16000,16250,16500,16750,17000,17250,17500,17750,18000,18250,18500,18750,19000,19250,19500,19750,20000
qcvz:,-5.823,-6.094,-6.508,-6.931,-7.284,-7.548,-7.738,-7.888,-8.027,-8.162,-8.295,-8.432,-8.572,-8.724,-8.885,-9.061,-9.263,-9.505,-9.798,-10.141,-10.534,-10.977,-11.499,-12.089,-12.791,-13.487,-14.215,-15.101,-15.382,-15.434,-15.537,-15.583,-15.632,-15.682,-15.732,-15.777,-15.827,-15.877,-15.927,-15.977,-16.085,-16.076,-16.126,-16.608,-16.598,-16.587,-16.575,-16.563,-16.551,-16.538,-16.526,-16.513,-16.501,-16.489,-16.477,-16.465,-16.453,-16.419,-16.419,-16.418,-16.352
10,5.664,5.441,5.125,4.814,4.562,4.378,4.251,4.153,4.064,3.978,3.894,3.808,3.721,3.625,3.527,3.419,3.292,3.138,2.949,2.725,2.455,2.098,1.625,1.115,0.569,0.015,-0.541,-1.429,-1.697,-1.738,-1.814,-1.848,-1.883,-1.919,-1.956,-1.991,-2.029,-2.069,-2.108,-2.149,-2.245,-2.232,-2.275,-3.103,-3.011,-2.929,-2.859,-2.799,-2.747,-2.703,-2.665,-2.632,-2.604,-2.58,-2.558,-2.54,-2.523,-2.49,-2.488,-2.486,-2.431
11,5.63,5.408,5.091,4.778,4.524,4.34,4.212,4.113,4.023,3.938,3.853,3.767,3.679,3.584,3.485,3.376,3.25,3.095,2.904,2.68,2.405,2.019,1.504,0.988,0.473,-0.056,-0.6,-1.52,-1.743,-1.78,-1.849,-1.881,-1.915,-1.95,-1.985,-2.016,-2.051,-2.086,-2.12,-2.155,-2.229,-2.225,-2.26,-2.61,-2.601,-2.593,-2.585,-2.577,-2.569,-2.561,-2.554,-2.547,-2.541,-2.534,-2.528,-2.522,-2.516,-2.495,-2.497,-2.499,-2.456
12,5.631,5.41,5.091,4.777,4.522,4.336,4.207,4.108,4.018,3.932,3.847,3.76,3.673,3.577,3.477,3.368,3.241,3.086,2.895,2.669,2.389,1.96,1.388,0.912,0.46,-0.027,-0.551,-1.122,-1.301,-1.337,-1.404,-1.435,-1.468,-1.501,-1.534,-1.564,-1.598,-1.633,-1.667,-1.702,-1.776,-1.77,-1.804,-2.194,-2.177,-2.161,-2.146,-2.133,-2.121,-2.11,-2.1,-2.09,-2.08,-2.071,-2.062,-2.054,-2.046,-2.022,-2.023,-2.024,-1.979
13,5.604,5.383,5.064,4.749,4.493,4.306,4.176,4.077,3.986,3.9,3.815,3.727,3.639,3.543,3.443,3.334,3.207,3.05,2.858,2.632,2.357,1.982,1.52,1.085,0.615,0.163,-0.318,-0.97,-1.247,-1.294,-1.39,-1.428,-1.471,-1.515,-1.558,-1.595,-1.636,-1.676,-1.715,-1.754,-1.844,-1.832,-1.873,-2.349,-2.32,-2.293,-2.267,-2.245,-2.227,-2.21,-2.194,-2.179,-2.165,-2.151,-2.138,-2.125,-2.113,-2.082,-2.08,-2.077,-2.018
14,5.608,5.387,5.068,4.751,4.494,4.306,4.176,4.075,3.984,3.897,3.812,3.724,3.636,3.539,3.439,3.329,3.202,3.045,2.852,2.625,2.35,1.991,1.576,1.172,0.72,0.243,-0.285,-1.018,-1.294,-1.34,-1.431,-1.469,-1.509,-1.55,-1.59,-1.626,-1.665,-1.705,-1.744,-1.784,-1.875,-1.864,-1.904,-2.417,-2.386,-2.357,-2.329,-2.303,-2.279,-2.257,-2.237,-2.218,-2.2,-2.185,-2.17,-2.157,-2.144,-2.114,-2.113,-2.11,-2.056
15,5.579,5.359,5.04,4.723,4.464,4.276,4.145,4.044,3.952,3.865,3.779,3.691,3.602,3.505,3.405,3.295,3.167,3.009,2.816,2.588,2.317,1.995,1.654,1.28,0.793,0.276,-0.297,-1.076,-1.357,-1.401,-1.491,-1.529,-1.57,-1.611,-1.652,-1.689,-1.731,-1.773,-1.816,-1.86,-1.968,-1.95,-1.997,-2.597,-2.565,-2.533,-2.501,-2.469,-2.438,-2.407,-2.379,-2.351,-2.326,-2.302,-2.28,-2.26,-2.24,-2.201,-2.196,-2.191,-2.127
16,5.582,5.362,5.042,4.724,4.465,4.275,4.143,4.042,3.95,3.862,3.776,3.687,3.598,3.501,3.4,3.29,3.161,3.004,2.81,2.581,2.314,2.008,1.667,1.271,0.765,0.235,-0.352,-1.148,-1.418,-1.461,-1.553,-1.592,-1.635,-1.68,-1.726,-1.767,-1.814,-1.863,-1.913,-1.964,-2.095,-2.07,-2.125,-2.719,-2.699,-2.678,-2.654,-2.63,-2.604,-2.576,-2.548,-2.519,-2.49,-2.461,-2.432,-2.404,-2.377,-2.323,-2.313,-2.302,-2.217
17,5.548,5.33,5.01,4.692,4.431,4.241,4.109,4.007,3.915,3.826,3.74,3.651,3.561,3.464,3.363,3.252,3.123,2.965,2.77,2.541,2.276,1.971,1.586,1.13,0.607,0.078,-0.481,-1.251,-1.506,-1.55,-1.647,-1.69,-1.736,-1.786,-1.836,-1.881,-1.934,-1.988,-2.042,-2.098,-2.239,-2.212,-2.27,-2.801,-2.786,-2.77,-2.753,-2.736,-2.717,-2.697,-2.676,-2.654,-2.631,-2.606,-2.581,-2.554,-2.527,-2.471,-2.459,-2.446,-2.347
18,5.505,5.288,4.967,4.649,4.388,4.197,4.064,3.962,3.869,3.781,3.694,3.604,3.515,3.417,3.315,3.204,3.075,2.916,2.722,2.492,2.227,1.927,1.563,1.131,0.61,0.046,-0.537,-1.349,-1.612,-1.66,-1.769,-1.813,-1.861,-1.918,-1.977,-2.028,-2.087,-2.146,-2.204,-2.261,-2.393,-2.371,-2.424,-2.876,-2.863,-2.85,-2.837,-2.825,-2.812,-2.799,-2.785,-2.771,-2.757,-2.741,-2.724,-2.706,-2.686,-2.64,-2.631,-2.62,-2.522
19,5.531,5.314,4.993,4.673,4.412,4.22,4.087,3.984,3.891,3.802,3.714,3.624,3.534,3.436,3.334,3.223,3.093,2.934,2.739,2.51,2.235,1.873,1.43,0.99,0.503,0.008,-0.565,-1.385,-1.637,-1.693,-1.824,-1.876,-1.934,-1.992,-2.051,-2.101,-2.157,-2.212,-2.265,-2.316,-2.426,-2.412,-2.458,-2.846,-2.837,-2.828,-2.819,-2.81,-2.801,-2.792,-2.783,-2.774,-2.764,-2.754,-2.744,-2.733,-2.721,-2.687,-2.683,-2.678,-2.599
