,Star,Paper,Identifier,T_eff,T_eff_err,logg,logg_err,atmosphere,mass,mass_err,RA,Dec,Gaia_designation,parallax,parallax_err,mixing_zone_mass,mag_field,mag_field_err,infrared_excess,gas_component,binary,binary_separation,time_since_acc_ended,origin,comment,log(H/H(e)),log(H/H(e))e,log(He/H(e)),log(He/H(e))e,log(Li/H(e)),log(Li/H(e))e,Acc_rate_Li_steady_state,Sinking_time_Li,mass_fraction_Li,log(Be/H(e)),log(Be/H(e))e,Acc_rate_Be_steady_state,Sinking_time_Be,log(C/H(e)),log(C/H(e))e,Acc_rate_C_steady_state,Sinking_time_C,mass_fraction_C,log(N/H(e)),log(N/H(e))e,Acc_rate_N_steady_state,Sinking_time_N,mass_fraction_N,log(O/H(e)),log(O/H(e))e,Acc_rate_O_steady_state,Acc_rate_O_increasing,Acc_rate_O_decreasing,Sinking_time_O,mass_fraction_O,log(Na/H(e)),log(Na/H(e))e,Acc_rate_Na_steady_state,Acc_rate_Na_increasing,Acc_rate_Na_decreasing,Sinking_time_Na,mass_fraction_Na,log(Mg/H(e)),log(Mg/H(e))e,Acc_rate_Mg_steady_state,Acc_rate_Mg_increasing,Acc_rate_Mg_decreasing,Sinking_time_Mg,mass_fraction_Mg,log(Al/H(e)),log(Al/H(e))e,Acc_rate_Al_steady_state,Acc_rate_Al_increasing,Acc_rate_Al_decreasing,Sinking_time_Al,mass_fraction_Al,log(Si/H(e)),log(Si/H(e))e,Acc_rate_Si_steady_state,Acc_rate_Si_increasing,Acc_rate_Si_decreasing,Sinking_time_Si,mass_fraction_Si,log(P/H(e)),log(P/H(e))e,Acc_rate_P_steady_state,Sinking_time_P,mass_fraction_P,log(S/H(e)),log(S/H(e))e,Acc_rate_S_steady_state,Sinking_time_S,mass_fraction_S,log(Cl/H(e)),log(Cl/H(e))e,Acc_rate_Cl_steady_state,Sinking_time_Cl,mass_fraction_Cl,log(Ar/H(e)),log(Ar/H(e))e,log(K/H(e)),log(K/H(e))e,Acc_rate_K_steady_state,Sinking_time_K,log(Ca/H(e)),log(Ca/H(e))e,Acc_rate_Ca_steady_state,Acc_rate_Ca_increasing,Acc_rate_Ca_decreasing,Sinking_time_Ca,mass_fraction_Ca,log(Sc/H(e)),log(Sc/H(e))e,Acc_rate_Sc_steady_state,Sinking_time_Sc,mass_fraction_Sc,log(Ti/H(e)),log(Ti/H(e))e,Acc_rate_Ti_steady_state,Acc_rate_Ti_increasing,Acc_rate_Ti_decreasing,Sinking_time_Ti,mass_fraction_Ti,log(V/H(e)),log(V/H(e))e,Acc_rate_V_steady_state,Sinking_time_V,mass_fraction_V,log(Cr/H(e)),log(Cr/H(e))e,Acc_rate_Cr_steady_state,Acc_rate_Cr_increasing,Acc_rate_Cr_decreasing,Sinking_time_Cr,mass_fraction_Cr,log(Mn/H(e)),log(Mn/H(e))e,Acc_rate_Mn_steady_state,Acc_rate_Mn_increasing,Acc_rate_Mn_decreasing,Sinking_time_Mn,mass_fraction_Mn,log(Fe/H(e)),log(Fe/H(e))e,Acc_rate_Fe_steady_state,Acc_rate_Fe_increasing,Acc_rate_Fe_decreasing,Sinking_time_Fe,mass_fraction_Fe,log(Co/H(e)),log(Co/H(e))e,Acc_rate_Co_steady_state,Sinking_time_Co,mass_fraction_Co,log(Ni/H(e)),log(Ni/H(e))e,Acc_rate_Ni_steady_state,Acc_rate_Ni_increasing,Acc_rate_Ni_decreasing,Sinking_time_Ni,mass_fraction_Ni,log(Cu/H(e)),log(Cu/H(e))e,Acc_rate_Cu_steady_state,Sinking_time_Cu,mass_fraction_Cu,log(Zn/H(e)),log(Zn/H(e))e,Acc_rate_Zn_steady_state,Sinking_time_Zn,log(Ga/H(e)),log(Ga/H(e))e,Acc_rate_Ga_steady_state,Sinking_time_Ga,mass_fraction_Ga,log(Ge/H(e)),log(Ge/H(e))e,Acc_rate_Ge_steady_state,Sinking_time_Ge,mass_fraction_Ge,log(As/H(e)),log(As/H(e))e,log(Se/H(e)),log(Se/H(e))e,log(Sr/H(e)),log(Sr/H(e))e,Acc_rate_Sr_steady_state,Sinking_time_Sr,mass_fraction_Sr,log(Sn/H(e)),log(Sn/H(e))e,log(I/H(e)),log(I/H(e))e,log(Ba/H(e)),log(Ba/H(e))e,Acc_rate_Total_steady_state,Acc_rate_Total_increasing,Acc_rate_Total_decreasing,total_detections,total_upper_limits,Number of detected elements with error,Number of modellable detected elements with error
1070,HS0307+0746,Koester 2006,HS0307+0746 Koester 2006,10200,,8.1,,H,0.664,,47.53816174,7.958909405,Gaia DR3 13611477211053824,15.15596434,0.05829657,5.02E+21,,,,,,,,https://ui.adsabs.harvard.edu/abs/2006A%26A...453.1051K/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.1,,,,,2037529790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85064648.02,,,1,0,0,0
1071,SDSSJ0940+6136,Kepler 2021,SDSSJ0940+6136 Kepler 2021,8823,82,8.155,0.031,He,0.664,0.014,145.1050613,61.6135915,Gaia DR3 1063014099502601088,,,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2021MNRAS.507.4646K/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.106,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1
1072,WD 1035-003,Leggett 2018,WD 1035-003 Leggett 2018,8180,73,8.142,0.04,He,0.664,0.036,159.5382791,-0.6062362485,Gaia DR3 3806714593452089856,16.8686,0.0895,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2018ApJS..239...26L/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0
1073,Gaia DR3 657673498630210176,Blouin 2022,Gaia DR3 657673498630210176 Blouin 2022,6350,45,8.123,0.036,H,0.665,0.023,136.301527,-1.915352769,Gaia DR3 5763373596110853248,,,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2022MNRAS.510.1059B/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.82,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199526231.5,,,1,0,1,1
1074,J1040+2407,Caron 2023,J1040+2407 Caron 2023,5940,32,8.152,0.03,He,0.667,0.027,160.1938273,24.13338108,Gaia DR3 723361209490895744,10.34874243,0.20928559,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2023MNRAS.519.4529C/abstract,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0
1075,J2356-2054,Caron 2023,J2356-2054 Caron 2023,4301,23,8.157,0.043,He,0.667,0.04,359.1879013,-20.91387245,Gaia DR3 2341622358827194880,15.27592354,0.5810334,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2023MNRAS.519.4529C/abstract,,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0
1076,SDSS J133305.34+325360.00,Genest-Beaulieu 2019,SDSS J133305.34+325360.00 Genest-Beaulieu 2019,13845,,8.13,,He,0.668,,203.2722399,32.90002858,Gaia DR3 1469124246843402624,,,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2019ApJ...882..106G/abstract,,-6.201,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0
1077,HS0507+0434A,Koester 2014,HS0507+0434A Koester 2014,21529,292,8.08,0.089,H,0.669,0.048,77.55810057,4.644010059,Gaia DR3 3238868098140387840,20.21754964,0.03556726,,,,,,DA WD companion: Gaia DR3 3238868171156736768,880,,https://ui.adsabs.harvard.edu/abs/2014A%26A...566A..34K/abstract,,,,,,,,,,,,,,,-8.5,-1,13182.56739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.4,0.15,8128.305162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1
1078,SDSSJ163601.33+161907.1,Blouin 2020,SDSSJ163601.33+161907.1 Blouin 2020,4410,200,8.096,0.059,He,0.669,0.038,249.0056293,16.31875228,Gaia DR3 4465939601772584448,14.16208819,0.3174491,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.1881B/abstract,,-3,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.5,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,1,1
1079,J0141+2257,Caron 2023,J0141+2257 Caron 2023,7829,25,8.149,0.014,He,0.669,0.013,25.35592976,22.95971733,Gaia DR3 290602027028411136,13.60681249,0.12569085,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2023MNRAS.519.4529C/abstract,,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0
1080,PG 1407+425,Farihi 2009,PG 1407+425 Farihi 2009,9900,,,,H,0.67,,212.4384167,42.26680556,Gaia DR3 1498447607777405312,35.89,,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2009ApJ...694..805F/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995262.315,,,0,0,0,0
1081,SDSS 1043+0855,Gaensicke 2007,SDSS 1043+0855 Gaensicke 2007,18330,523,8.09,0.11,H,0.67,0.07,160.9230474,8.932872481,Gaia DR3 3869060540584643328,5.9039,0.1103,,,,disc,gas,,,,https://ui.adsabs.harvard.edu/abs/2007MNRAS.380L..35G/abstract,Accretion rate from Melis 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.94,0.3,73000000,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1
1082,WD0145+234,Melis 2020,WD0145+234 Melis 2020,12720,1000,8.1,0.1,H,0.67,,26.97840808,23.6621109,Gaia DR3 291057843317534464,33.9807,0.0249,,,,disc,gas,,,,https://ui.adsabs.harvard.edu/abs/2020ApJ...905...56M/abstract,accretion rate from Owens 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.9,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.6,0.2,4300000,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,2
1083,GD 40,Bergeron 2011,GD 40 Bergeron 2011,14780,362,8.13,0.09,He,0.67,0.06,45.72126562,-1.142721855,Gaia DR3 5187830356195791488,15.3618,0.0456,,,,disc,,,,,https://ui.adsabs.harvard.edu/abs/2011ApJ...737...28B/abstract,,-6.11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0
1084,J0319+3630,Caron 2023,J0319+3630 Caron 2023,6467,29,8.155,0.008,He,0.67,0.007,49.90944676,36.50824208,Gaia DR3 234469931207274112,31.17370534,0.054219574,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2023MNRAS.519.4529C/abstract,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0
1085,J0749+3124,Caron 2023,J0749+3124 Caron 2023,6774,52,8.153,0.028,He,0.67,0.025,117.4286489,31.40686111,Gaia DR3 880840789603989504,10.99740156,0.1883005,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2023MNRAS.519.4529C/abstract,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0
1086,WD 0056+000,Coutu 2019,WD 0056+000 Coutu 2019,10839,415,8.15,0.19,He,0.67,0.13,14.77822733,0.2903488037,Gaia DR3 2536491205505048960,4.122011542,0.4927383953,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2019ApJ...885...74C/abstract,,-5.94,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.8,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1
1087,SDSS J013422.70+185704.6,Coutu 2019,SDSS J013422.70+185704.6 Coutu 2019,6525,253,8.15,0.32,He,0.67,0.21,23.59452671,18.95138732,Gaia DR3 95799314257405696,4.750593824,0.9207801807,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2019ApJ...885...74C/abstract,,-3.28,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.22,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1
1088,SDSS J020128.66+201521.8,Coutu 2019,SDSS J020128.66+201521.8 Coutu 2019,6306,194,8.16,0.23,He,0.67,0.15,30.36928635,20.25611055,Gaia DR3 94296969056387328,5.875440658,0.8008826279,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2019ApJ...885...74C/abstract,,-3.1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.99,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1
1089,Gaia DR3 2506764706057099520,Coutu 2019,Gaia DR3 2506764706057099520 Coutu 2019,9863,261,8.15,0.06,He,0.67,0.04,30.38432688,-0.6589309053,Gaia DR3 2506764706057099520,8.992805755,0.1617411107,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2019ApJ...885...74C/abstract,,-5.81,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.99,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1
1090,WD 0158-009,Coutu 2019,WD 0158-009 Coutu 2019,9863,261,8.15,0.06,He,0.67,0.04,30.38432688,-0.6589309053,Gaia DR3 2506764706057099520,8.992805755,0.1617411107,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2019ApJ...885...74C/abstract,,-5.81,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.99,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1
1091,SDSS J080211.41+301256.8,Coutu 2019,SDSS J080211.41+301256.8 Coutu 2019,10471,544,8.14,0.97,He,0.67,0.56,120.5476064,30.21580562,Gaia DR3 877285278237322496,2.382086708,1.311906734,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2019ApJ...885...74C/abstract,,-5.91,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.14,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1
1092,SDSS J082927.85+075911.4,Coutu 2019,SDSS J082927.85+075911.4 Coutu 2019,10016,287,8.15,0.09,He,0.67,0.06,127.3661491,7.986527399,Gaia DR3 599123782896409984,5.678591709,0.2805437131,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2019ApJ...885...74C/abstract,,-5.83,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.95,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1
1093,WD 0902+527,Coutu 2019,WD 0902+527 Coutu 2019,7650,126,8.15,0.09,He,0.67,0.06,136.4842467,52.59251277,Gaia DR3 1017429511350062464,6.973500697,0.3793117534,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2019ApJ...885...74C/abstract,,-4.14,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.07,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1
1094,SDSS J104319.84+351641.6,Coutu 2019,SDSS J104319.84+351641.6 Coutu 2019,6115,58,8.15,0.05,He,0.67,0.03,160.8327886,35.27835776,Gaia DR3 750713313579071232,11.69590643,0.3146267228,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2019ApJ...885...74C/abstract,,-3.02,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.84,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1
1095,SDSS J110608.27+010451.7,Coutu 2019,SDSS J110608.27+010451.7 Coutu 2019,6989,218,8.15,0.16,He,0.67,0.11,166.5343916,1.081047675,Gaia DR3 3805152217493874304,5.810575247,0.5570859476,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2019ApJ...885...74C/abstract,,-3.77,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.27,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1
1096,SDSS J114054.87+532827.4,Coutu 2019,SDSS J114054.87+532827.4 Coutu 2019,9829,323,8.14,0.12,He,0.67,0.08,175.2287009,53.47426028,Gaia DR3 840377937068042752,4.557885141,0.3116147544,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2019ApJ...885...74C/abstract,,-4.65,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.26,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1
1097,SDSS J115809.38+184557.3,Coutu 2019,SDSS J115809.38+184557.3 Coutu 2019,6910,117,8.16,0.22,He,0.67,0.14,179.5391821,18.76596846,Gaia DR3 3927086888783407616,5.379236149,0.7378726293,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2019ApJ...885...74C/abstract,,-3.7,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.12,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1
1098,SDSS J121218.68+540938.7,Coutu 2019,SDSS J121218.68+540938.7 Coutu 2019,8388,241,8.14,0.07,He,0.67,0.04,183.0779099,54.16074465,Gaia DR3 1573053006478894464,8.084074374,0.1633806462,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2019ApJ...885...74C/abstract,,-4.9,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.61,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1
1099,2QZ J122555.3-024547,Coutu 2019,2QZ J122555.3-024547 Coutu 2019,6934,245,8.16,0.46,He,0.67,0.3,186.4806921,-2.762651554,Gaia DR3 3693806156714162816,4.77326969,1.346540519,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2019ApJ...885...74C/abstract,,-3.72,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.22,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1
1100,SDSS J124437.69-011838.4,Coutu 2019,SDSS J124437.69-011838.4 Coutu 2019,8466,185,8.14,0.1,He,0.67,0.07,191.157021,-1.310661142,Gaia DR3 3683519637024466176,6.071645416,0.3502163415,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2019ApJ...885...74C/abstract,,-4.98,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.65,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1
1101,USNO-B1.0 0981-00259963,Coutu 2019,USNO-B1.0 0981-00259963 Coutu 2019,7016,166,8.16,0.08,He,0.67,0.05,192.4291969,8.103772987,Gaia DR3 3709828029699575808,8.605851979,0.303648822,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2019ApJ...885...74C/abstract,,-3.79,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.98,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1
1102,SDSS J140048.98+450758.7,Coutu 2019,SDSS J140048.98+450758.7 Coutu 2019,7238,294,8.16,0.23,He,0.67,0.15,210.2040411,45.13298689,Gaia DR3 1505711149093085184,4.524886878,0.6162854978,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2019ApJ...885...74C/abstract,,-3.92,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.97,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1
1103,SDSS J140336.35+195455.2,Coutu 2019,SDSS J140336.35+195455.2 Coutu 2019,13117,867,8.14,0.19,He,0.67,0.12,210.9015243,19.91530233,Gaia DR3 1246965487205372672,3.641660597,0.362044189,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2019ApJ...885...74C/abstract,,-4.17,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.81,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1
