Name,Type,Mass,error Mass (not used),Teff,error Teff (not used),log(g),error log(g) (not used),log(q),log(Al/Hx),error log(Al/Hx),log(Ti/Hx),error log(Ti/Hx),log(Ca/Hx),error log(Ca/Hx),log(Ni/Hx),error log(Ni/Hx),log(Fe/Hx),error log(Fe/Hx),log(Cr/Hx),error log(Cr/Hx),log(Mg/Hx),error log(Mg/Hx),log(Si/Hx),error log(Si/Hx),log(Na/Hx),error log(Na/Hx),log(O/Hx),error log(O/Hx),log(C/Hx),error log(C/Hx),log(N/Hx),error log(N/Hx),t_Al,t_Ti,t_Ca,t_Ni,t_Fe,t_Cr,t_Mg,t_Si,t_Na,t_O,t_C,t_N
SynthMarsfcf0.3,He,0.6,,5843,,8,,0,-5.923463958,0.05,-7.464702712,0.05,-6.062871537,0.05,-5.626839796,0.05,-4.562096466,0.05,-6.559354009,0.05,-4.891145479,0.05,-4.933384169,0.05,-6.79916436,0.05,-4.385666554,0.05,-6.303838434,0.05,-8.441366059,0.05,0,0,0,0,0,0,0,0,0,0,0,0
SynthMarsfcf0.4,He,0.6,,5843,,8,,0,-5.990410748,0.05,-7.531649502,0.05,-6.129818327,0.05,-5.505759781,0.05,-4.47511101,0.05,-6.530158908,0.05,-4.958092269,0.05,-4.999416733,0.05,-6.866111149,0.05,-4.426130107,0.05,-6.17899143,0.05,-8.508312849,0.05,0,0,0,0,0,0,0,0,0,0,0,0
SynthMarsfcf0.5,He,0.6,,5843,,8,,0,-6.069591994,0.05,-7.610830748,0.05,-6.208999573,0.05,-5.411181566,0.05,-4.402674417,0.05,-6.502803408,0.05,-5.037273515,0.05,-5.077321288,0.05,-6.945292395,0.05,-4.470754685,0.05,-6.082136465,0.05,-8.587494095,0.05,0,0,0,0,0,0,0,0,0,0,0,0
SynthMarsfcf0.6,He,0.6,,5843,,8,,0,-6.166502007,0.05,-7.707740761,0.05,-6.305909586,0.05,-5.333561837,0.05,-4.340610183,0.05,-6.477069358,0.05,-5.134183528,0.05,-5.172323274,0.05,-7.042202408,0.05,-4.52049521,0.05,-6.002991922,0.05,-8.684404108,0.05,0,0,0,0,0,0,0,0,0,0,0,0
SynthMarsfcf0.7,He,0.6,,5843,,8,,0,-6.291440743,0.05,-7.832679498,0.05,-6.430848323,0.05,-5.267733864,0.05,-4.286316517,0.05,-6.452775249,0.05,-5.259122264,0.05,-5.294100477,0.05,-7.167141145,0.05,-4.576678452,0.05,-5.93607135,0.05,-8.809342844,0.05,0,0,0,0,0,0,0,0,0,0,0,0
SynthMarsfcf0.8,He,0.6,,5843,,8,,0,-6.467532002,0.05,-8.008770757,0.05,-6.606939582,0.05,-5.210582924,0.05,-4.238062368,0.05,-6.429768442,0.05,-5.435213523,0.05,-5.463936887,0.05,-7.343232404,0.05,-4.641225292,0.05,-5.878099068,0.05,-8.985434103,0.05,0,0,0,0,0,0,0,0,0,0,0,0
SynthMarsfcf0.9,He,0.6,,5843,,8,,0,-6.768561998,0.05,-8.309800752,0.05,-6.907969577,0.05,-5.160085647,0.05,-4.194637583,0.05,-6.40791935,0.05,-5.736243519,0.05,-5.746725333,0.05,-7.6442624,0.05,-4.717068735,0.05,-5.826961841,0.05,-9.286464099,0.05,0,0,0,0,0,0,0,0,0,0,0,0
SynthMarsfcf0.99,He,0.6,,5843,,8,,0,-7.768561998,0.05,-9.309800752,0.05,-7.907969577,0.05,-5.119170125,0.05,-4.158952716,0.05,-6.389152984,0.05,-6.736243519,0.05,-6.506078532,0.05,-8.6442624,0.05,-4.798897535,0.05,-5.78558028,0.05,-10.2864641,0.05,0,0,0,0,0,0,0,0,0,0,0,0
IdealHPMantle1,He,0.6,,5843,,8,,0,-5.717480237,0.05,-7.258718991,0.05,-5.856887816,0.05,-7.663759071,0.05,-6.342163116,0.05,-7.419688519,0.05,-4.685161758,0.05,-5.022822375,0.05,-6.593180638,0.05,-4.222965747,0.05,-10.53893166,0.05,-8.235382338,0.05,0,0,0,0,0,0,0,0,0,0,0,0
IdealHPCore1,He,0.6,,5843,,8,,0,-7.765048773,0.05,-9.306287527,0.05,-7.904456352,0.05,-5.159692129,0.05,-3.963187827,0.05,-6.045077774,0.05,-6.732730294,0.05,-5.163762821,0.05,-8.640749175,0.05,-4.796120377,0.05,-5.81967536,0.05,-10.28295087,0.05,0,0,0,0,0,0,0,0,0,0,0,0
IdealLPMantle1,He,0.6,,5843,,8,,0,-5.737881949,0.05,-7.279120704,0.05,-5.877289529,0.05,-10.24342773,0.05,-6.219979844,0.05,-6.7020542,0.05,-4.70556347,0.05,-4.950452764,0.05,-6.613582351,0.05,-4.239060597,0.05,-11.20395928,0.05,-8.25578405,0.05,0,0,0,0,0,0,0,0,0,0,0,0
IdealLPCore1,He,0.6,,5843,,8,,0,-7.772923631,0.05,-9.314162385,0.05,-7.91233121,0.05,-4.842267434,0.05,-3.898806089,0.05,-7.030504985,0.05,-6.740605152,0.05,-7.976917724,0.05,-8.648624033,0.05,-5.352366922,0.05,-5.743118934,0.05,-10.29082573,0.05,0,0,0,0,0,0,0,0,0,0,0,0
IdealHPCore2,He,0.6,,5843,,8,,0,-7.765048773,0.05,-9.306287527,0.05,-7.904456352,0.05,-5.159692129,0.05,-3.963187827,0.05,-6.045077774,0.05,-6.732730294,0.05,,,-8.640749175,0.05,,,-5.81967536,0.05,-10.28295087,0.05,0,0,0,0,0,0,0,0,0,0,0,0
IdealHPCore3,He,0.6,,5843,,8,,0,-7.765048773,0.05,-9.306287527,0.05,-7.904456352,0.05,-5.05,0.05,-3.963187827,0.05,-6.2,0.05,-6.732730294,0.05,-5.163762821,0.05,-8.640749175,0.05,-4.796120377,0.05,-5.81967536,0.05,-10.28295087,0.05,0,0,0,0,0,0,0,0,0,0,0,0
IdealHPCore4,He,0.6,,5843,,8,,0,-7.765048773,0.05,-9.306287527,0.05,-7.904456352,0.05,-5.05,0.05,-3.963187827,0.05,-6.2,0.05,-6.732730294,0.05,,,-8.640749175,0.05,,,-5.81967536,0.05,-10.28295087,0.05,0,0,0,0,0,0,0,0,0,0,0,0
IdealHPMantle2,He,0.6,,5843,,8,,0,-5.717480237,0.05,-7.258718991,0.05,-5.856887816,0.05,-6.963759071,0.05,-5.642163116,0.05,-6.719688519,0.05,-4.685161758,0.05,-5.022822375,0.05,-6.593180638,0.05,-4.222965747,0.05,-10.53893166,0.05,-8.235382338,0.05,0,0,0,0,0,0,0,0,0,0,0,0
IdealLPMantle2,He,0.6,,5843,,8,,0,-5.737881949,0.05,-7.279120704,0.05,-5.877289529,0.05,-9.743427727,0.05,-6.319979844,0.05,-7.1020542,0.05,-4.70556347,0.05,-4.950452764,0.05,-6.613582351,0.05,-4.239060597,0.05,-11.20395928,0.05,-8.25578405,0.05,0,0,0,0,0,0,0,0,0,0,0,0
IdealLPCore2,He,0.6,,5843,,8,,0,-7.772923631,0.05,-9.314162385,0.05,-7.91233121,0.05,-4.842267434,0.05,-3.898806089,0.05,-7.030504985,0.05,-6.740605152,0.05,-6.976917724,0.05,-8.648624033,0.05,-5.352366922,0.05,-5.743118934,0.05,-10.29082573,0.05,0,0,0,0,0,0,0,0,0,0,0,0
