Name,Type,Mass,Teff,log(g),log(q),log(Al/X),error log(Al/X),log(Ti/X),error log(Ti/X),log(Ca/X),error log(Ca/X),log(Ni/X),error log(Ni/X),log(Fe/X),error log(Fe/X),log(Cr/X),error log(Cr/X),log(Mg/X),error log(Mg/X),log(Si/X),error log(Si/X),log(Na/X),error log(Na/X),log(O/X),error log(O/X),log(C/X),error log(C/X),log(N/X),error log(N/X),t_Al,t_Ti,t_Ca,t_Ni,t_Fe,t_Cr,t_Mg,t_Si,t_Na,t_O,t_C,t_N
SDSSJ1038+0432,He,0.6,6363,8,-5.56,0,0,0,0,-7.6,0.3,0,0,-7,0.2,0,0,-6.6,0.2,0,0,0,0,0,0,0,0,0,0,3311311.215,1318256.739,1412537.545,1621810.097,1479108.388,1380384.265,3715352.291,3715352.291,3311311.215,4086887.52,4086887.52,4086887.52
SDSSJ1040+2407,He,0.686,6023,8.181,-5.62,0,0,-9.17,0.132558295,-8.1,0.2,0,0,-7.2,0.2,-9.25,0.132558295,-6.8,0.1,0,0,-8.78,0.100357867,0,0,0,0,0,0,2290867.653,831763.7711,912010.8394,1000000,933254.3008,891250.9381,2570395.783,2570395.783,2290867.653,2827435.361,2827435.361,2827435.361
SDSSJ1041+3432,He,0.769,7728,8.301,-5.25,0,0,0,0,-8,0.2,0,0,-6.8,0.2,0,0,-6.8,0.2,0,0,0,0,0,0,0,0,0,0,3630780.548,1380384.265,1513561.248,1698243.652,1584893.192,1479108.388,4073802.778,4073802.778,3630780.548,4481183.056,4481183.056,4481183.056
SDSSJ1043+3516,He,0.657,6069,8.135,-5.3,0,0,0,0,-9.3,0.1,-8.97,0.144984157,-7.6,0.1,-9.34,0.144984157,-7.5,0.1,0,0,0,0,0,0,0,0,0,0,3801893.963,1380384.265,1513561.248,1659586.907,1548816.619,1479108.388,4265795.188,4265795.188,3801893.963,4692374.707,4692374.707,4692374.707
SDSSJ1046+1329,He,0.507,5177,7.895,-5.45,0,0,0,0,-9.3,0.3,0,0,-8.2,0.5,0,0,-8.1,0.5,0,0,0,0,0,0,0,0,0,0,3890451.45,1230268.771,2089296.131,1445439.771,1348962.883,1288249.552,4365158.322,4365158.322,3890451.45,4801674.154,4801674.154,4801674.154
SDSSJ1055+3725,He,0.361,5614,7.605,-5.65,0,0,0,0,-8.4,0.3,0,0,-8.2,0.5,-9.35,0.160939912,-8.2,0.2,0,0,0,0,0,0,0,0,0,0,2290867.653,812830.5162,891250.9381,977237.221,2290867.653,851138.0382,2570395.783,2570395.783,2290867.653,2827435.361,2827435.361,2827435.361
SDSSJ1058+3143,He,0.675,7173,8.159,-5.26,0,0,0,0,-9,0.1,0,0,-7.7,0.2,0,0,-7.4,0.2,0,0,0,0,0,0,0,0,0,0,4073802.778,1479108.388,1621810.097,1778279.41,1659586.907,1584893.192,4570881.896,4570881.896,4073802.778,5027970.086,5027970.086,5027970.086
SDSSJ1102+2827,He,0.6,6320,8,-5.54,0,0,0,0,-7.8,0.4,0,0,-6.7,0.4,0,0,-6.2,0.2,0,0,-7.78,0.367302208,0,0,0,0,0,0,2344228.815,891250.9381,977237.221,1096478.196,1000000,954992.586,2630267.992,2630267.992,2344228.815,2893294.791,2893294.791,2893294.791
SDSSJ1102+0214,He,0.658,5699,8.137,-5.35,0,0,0,0,-9.8,0.1,0,0,-8.6,0.4,0,0,-8,0.5,0,0,0,0,0,0,0,0,0,0,4265795.188,1412537.545,2344228.815,1698243.652,1548816.619,1479108.388,4897788.194,4897788.194,4265795.188,5387567.013,5387567.013,5387567.013
SDSSJ1103+4144,He,0.327,5728,7.521,-5.41,0,0,0,0,-9.4,0.1,0,0,-8.3,0.2,0,0,-7.7,0.2,0,0,-9.23,0.10927814,0,0,0,0,0,0,3715352.291,1258925.412,1737800.829,1513561.248,1380384.265,1318256.739,4168693.835,4168693.835,3715352.291,4585563.219,4585563.219,4585563.219
SDSSJ1105+0228,He,0.6,5842,8,-5.46,0,0,0,0,-9.1,0.4,0,0,-8,0.4,0,0,-7.6,0.2,0,0,0,0,0,0,0,0,0,0,3388441.561,1148153.621,1412537.545,1380384.265,1288249.552,1202264.435,3801893.963,3801893.963,3388441.561,4182083.359,4182083.359,4182083.359
SDSSJ1112+0700,He,0.497,6891,7.867,-5.2,0,0,0,0,-9.7,0.2,0,0,-8.5,0.5,0,0,-7.6,0.3,0,0,0,0,0,0,0,0,0,0,3981071.706,1548816.619,1659586.907,1862087.137,1737800.829,1621810.097,4466835.922,4466835.922,3981071.706,4913519.514,4913519.514,4913519.514
SDSSJ1132+3323,He,0.6,6062,8,-5.5,0,0,0,0,-8.3,0.2,0,0,-7.1,0.2,0,0,-6.8,0.2,0,0,0,0,0,0,0,0,0,0,2691534.804,1000000,1071519.305,1202264.435,1096478.196,1047128.548,3019951.72,3019951.72,2691534.804,3321946.892,3321946.892,3321946.892
SDSSJ1134+1542,He,0.6,6806,8,-5.37,0,0,0,0,-8.5,0.1,0,0,-7.3,0.4,0,0,-6.9,0.1,0,0,0,0,0,0,0,0,0,0,3311311.215,1230268.771,1318256.739,1479108.388,1380384.265,1288249.552,3715352.291,3715352.291,3311311.215,4086887.52,4086887.52,4086887.52
SDSSJ1144+3720,He,0.446,7280,7.768,-5.26,0,0,0,0,-8.5,0.2,0,0,-7.6,0.4,0,0,-7,0.2,0,0,0,0,0,0,0,0,0,0,3548133.892,1380384.265,1479108.388,1698243.652,1548816.619,1479108.388,3981071.706,3981071.706,3548133.892,4379178.877,4379178.877,4379178.877
SDSSJ1144+1218,He,0.577,5320,8.009,-5.47,0,0,0,0,-9.3,0.1,0,0,-8.3,0.2,-10.19,0.138393536,-7.8,0.2,0,0,0,0,0,0,0,0,0,0,3548133.892,1174897.555,1737800.829,1380384.265,1288249.552,1230268.771,3981071.706,3981071.706,3548133.892,4379178.877,4379178.877,4379178.877
SDSSJ1147+5429,He,0.6,5000,8,-5.52,0,0,0,0,-9.5,0.5,0,0,-8.3,0.5,0,0,-8.3,0.5,0,0,0,0,0,0,0,0,0,0,3235936.569,1071519.305,1513561.248,1288249.552,1174897.555,1122018.454,3715352.291,3715352.291,3235936.569,4086887.52,4086887.52,4086887.52
SDSSJ1149+0519,He,0.525,7173,7.914,-5.29,0,0,0,0,-8.2,0.1,0,0,-7.5,0.2,0,0,-7.3,0.1,0,0,0,0,0,0,0,0,0,0,3467368.505,1318256.739,1412537.545,1621810.097,1479108.388,1412537.545,3801893.963,3801893.963,3467368.505,4182083.359,4182083.359,4182083.359
SDSSJ1150+4928,He,0.694,7417,8.189,-5.23,0,0,0,0,-9.1,0.3,0,0,-7.9,0.5,0,0,-7.5,0.5,0,0,0,0,0,0,0,0,0,0,4073802.778,1513561.248,1659586.907,1819700.859,1698243.652,1621810.097,4570881.896,4570881.896,4073802.778,5027970.086,5027970.086,5027970.086
SDSSJ1152+5101,He,0.6,4790,8,-5.4,0,0,0,0,-10.4,0.3,0,0,-9.2,0.5,0,0,-9.1,0.5,0,0,0,0,0,0,0,0,0,0,4466835.922,1548816.619,3090295.433,1659586.907,1513561.248,1445439.771,5128613.84,5128613.84,4466835.922,5641475.224,5641475.224,5641475.224
SDSSJ1157+6138,He,0.6,6607,8,-5.3,0,0,0,0,-9.3,0.3,0,0,-8.2,0.5,0,0,-7.6,0.5,0,0,0,0,0,0,0,0,0,0,3981071.706,1412537.545,1621810.097,1698243.652,1584893.192,1479108.388,4466835.922,4466835.922,3981071.706,4913519.514,4913519.514,4913519.514
SDSSJ1158+0454,He,0.566,5344,7.991,-5.62,0,0,0,0,-8.5,0.2,0,0,-7.5,0.3,0,0,-7,0.1,0,0,-8.78,0.211104444,0,0,0,0,0,0,2630267.992,891250.9381,1023292.992,1071519.305,977237.221,933254.3008,2951209.227,2951209.227,2630267.992,3246330.15,3246330.15,3246330.15
SDSSJ1158+1845,He,0.6,6696,8.04,-5.36,0,0,0,0,-8.6,0.2,0,0,-7.4,0.2,0,0,-6.4,0.1,0,0,0,0,0,0,0,0,0,0,2951209.227,1148153.621,1230268.771,1412537.545,1318256.739,1230268.771,3311311.215,3311311.215,2951209.227,3642442.337,3642442.337,3642442.337
SDSSJ1158+4712,He,0.6,7840,8,-5.25,0,0,0,0,-8.3,0.1,0,0,-6.9,0.2,0,0,-6.7,0.1,0,0,0,0,0,0,0,0,0,0,3548133.892,1380384.265,1479108.388,1698243.652,1548816.619,1479108.388,3981071.706,3981071.706,3548133.892,4379178.877,4379178.877,4379178.877
SDSSJ1158+5448,He,0.6,6213,8,-5.4,0,0,0,0,-9,0.3,0,0,-7.8,0.4,0,0,-7.3,0.2,0,0,0,0,0,0,0,0,0,0,3388441.561,1202264.435,1318256.739,1445439.771,1348962.883,1258925.412,3801893.963,3801893.963,3388441.561,4182083.359,4182083.359,4182083.359
SDSSJ1158+5942,He,0.587,6046,8.022,-5.43,0,0,0,0,-8.9,0.3,0,0,-8.4,0.3,0,0,-7.7,0.2,0,0,0,0,0,0,0,0,0,0,3311311.215,1174897.555,1318256.739,1412537.545,1288249.552,1230268.771,3715352.291,3715352.291,3311311.215,4086887.52,4086887.52,4086887.52
SDSSJ1205+3536,He,0.684,6000,8.178,-5.46,0,0,0,0,-8.9,0.1,0,0,-7.6,0.1,0,0,-7.2,0.1,0,0,-8.88,0.152860513,0,0,0,0,0,0,3090295.433,1096478.196,1202264.435,1318256.739,1230268.771,1174897.555,3467368.505,3467368.505,3090295.433,3814105.356,3814105.356,3814105.356
SDSSJ1211+2326,He,1.005,6609,8.663,-5.4,0,0,0,0,-8.3,0.2,0,0,-6.9,0.2,0,0,-6.7,0.1,0,0,-8.28,0.225617437,0,0,0,0,0,0,3235936.569,1174897.555,1288249.552,1445439.771,1318256.739,1258925.412,3630780.548,3630780.548,3235936.569,3993858.603,3993858.603,3993858.603
SDSSJ1217+1157,He,0.285,6012,7.401,-5.35,0,0,0,0,-9.6,0.2,0,0,-8.7,0.3,0,0,-7.8,0.2,0,0,0,0,0,0,0,0,0,0,3630780.548,1288249.552,1445439.771,1548816.619,1445439.771,1380384.265,4073802.778,4073802.778,3630780.548,4481183.056,4481183.056,4481183.056
SDSSJ1218+0023,He,0.776,6500,8.314,-5.32,0,0,0,0,-9.2,0.2,0,0,-8.5,0.3,0,0,-7.8,0.2,0,0,0,0,0,0,0,0,0,0,4265795.188,1445439.771,2187761.624,1737800.829,1621810.097,1513561.248,4786300.923,4786300.923,4265795.188,5264931.015,5264931.015,5264931.015
SDSSJ1220+0929,He,0.6,6677,8,-5.39,0,0,0,0,-8.4,0.1,0,0,-7.4,0.1,0,0,-6.8,0.1,0,0,-8.48,0.141419762,0,0,0,0,0,0,3162277.66,1174897.555,1288249.552,1445439.771,1318256.739,1258925.412,3548133.892,3548133.892,3162277.66,3902947.281,3902947.281,3902947.281
SDSSJ1224+2838,He,0.576,4991,8.01,-5.38,0,0,0,0,-10.2,0.1,0,0,-9.1,0.5,0,0,-9,0.5,0,0,0,0,0,0,0,0,0,0,4466835.922,1513561.248,2884031.503,1659586.907,1548816.619,1479108.388,5128613.84,5128613.84,4466835.922,5641475.224,5641475.224,5641475.224
SDSSJ1229+0743,He,0.204,6014,7.133,-5.53,0,0,0,0,-8.9,0.2,0,0,-7.3,0.2,-9.55,0.153707272,-7.3,0.2,0,0,-9.18,0.126987894,0,0,0,0,0,0,2570395.783,954992.586,1047128.548,1148153.621,1071519.305,1000000,2884031.503,2884031.503,2570395.783,3172434.653,3172434.653,3172434.653
SDSSJ1230+3143,He,0.398,6310,7.676,-5.31,0,0,0,0,-9.6,0.3,0,0,-8.3,0.3,0,0,-8.1,0.3,0,0,0,0,0,0,0,0,0,0,3890451.45,1412537.545,1584893.192,1698243.652,1548816.619,1479108.388,4365158.322,4365158.322,3890451.45,4801674.154,4801674.154,4801674.154
SDSSJ1234+5208,He,0.637,7627,8.098,-5.37,0,0,-8.97,0.124930923,-7.5,0.1,0,0,-6.3,0.1,-8.05,0.124930923,-5.7,0.1,0,0,-8,0.090042964,0,0,0,0,0,0,2818382.931,1122018.454,1202264.435,1380384.265,1258925.412,1202264.435,3090295.433,3090295.433,2818382.931,3399324.976,3399324.976,3399324.976
SDSSJ1238+2149,He,0.632,5437,8.097,-5.51,0,0,0,0,-8.9,0.3,0,0,-7.9,0.3,0,0,-7.3,0.2,0,0,-8.68,0.21411469,0,0,0,0,0,0,3235936.569,1071519.305,1445439.771,1288249.552,1174897.555,1122018.454,3630780.548,3630780.548,3235936.569,3993858.603,3993858.603,3993858.603
SDSSJ1245+0822,He,0.6,6074,8,-5.5,0,0,0,0,-8.3,0.2,0,0,-7.6,0.2,0,0,-7,0.2,0,0,-8.88,0.18249123,0,0,0,0,0,0,2691534.804,1000000,1071519.305,1202264.435,1096478.196,1047128.548,2951209.227,2951209.227,2691534.804,3246330.15,3246330.15,3246330.15
SDSSJ1254+3551,He,0.597,6417,8.036,-5.31,0,0,0,0,-9.7,0.2,0,0,-8.1,0.2,0,0,-7.6,0.2,0,0,0,0,0,0,0,0,0,0,3801893.963,1380384.265,1513561.248,1659586.907,1548816.619,1445439.771,4265795.188,4265795.188,3801893.963,4692374.707,4692374.707,4692374.707
SDSSJ1257+3238,He,0.6,5376,8,-5.56,0,0,0,0,-8.8,0.2,0,0,-7.6,0.4,0,0,-7.2,0.2,0,0,0,0,0,0,0,0,0,0,3019951.72,1096478.196,1202264.435,1318256.739,1230268.771,1148153.621,3388441.561,3388441.561,3019951.72,3727285.717,3727285.717,3727285.717
SDSSJ1257-0310,He,0.6,6269,8,-5.45,0,0,0,0,-8.6,0.1,0,0,-7.4,0.2,0,0,-7.1,0.1,0,0,0,0,0,0,0,0,0,0,3019951.72,1000000,1348962.883,1174897.555,1096478.196,1047128.548,3388441.561,3388441.561,3019951.72,3727285.717,3727285.717,3727285.717
SDSSJ1259+3112,He,0.589,5664,8.027,-5.35,0,0,0,0,-9.8,0.3,0,0,-8.6,0.4,0,0,-8.6,0.4,0,0,0,0,0,0,0,0,0,0,4168693.835,1412537.545,2187761.624,1659586.907,1548816.619,1479108.388,4677351.413,4677351.413,4168693.835,5145086.554,5145086.554,5145086.554
SDSSJ1259+4729,He,0.454,5682,7.795,-5.41,0,0,0,0,-9.8,0.4,0,0,-8.7,0.5,0,0,-8.6,0.5,0,0,0,0,0,0,0,0,0,0,3311311.215,1202264.435,1318256.739,1445439.771,1318256.739,1258925.412,3715352.291,3715352.291,3311311.215,4086887.52,4086887.52,4086887.52
SDSSJ1303+4055,He,0.618,6481,8.071,-5.39,0,0,0,0,-8.7,0.3,0,0,-7.9,0.3,0,0,-7.2,0.2,0,0,0,0,0,0,0,0,0,0,3548133.892,1258925.412,1412537.545,1513561.248,1380384.265,1318256.739,3981071.706,3981071.706,3548133.892,4379178.877,4379178.877,4379178.877
SDSSJ1308+0957,He,0.6,7692,8,-5.23,0,0,0,0,-8.1,0.2,0,0,-6.9,0.3,0,0,-7,0.2,0,0,0,0,0,0,0,0,0,0,3630780.548,1412537.545,1513561.248,1737800.829,1621810.097,1513561.248,4073802.778,4073802.778,3630780.548,4481183.056,4481183.056,4481183.056
SDSSJ1308+0258,He,0.6,6003,8,-5.41,0,0,0,0,-9.3,0.2,0,0,-7.8,0.2,0,0,-7.9,0.2,0,0,0,0,0,0,0,0,0,0,3467368.505,1202264.435,1412537.545,1445439.771,1348962.883,1288249.552,3890451.45,3890451.45,3467368.505,4279496.595,4279496.595,4279496.595
SDSSJ1314+3748,He,0.819,6201,8.379,-5.53,0,0,0,0,-8.2,0.4,0,0,-7.1,0.4,0,0,-6.9,0.2,0,0,-8.43,0.32949592,0,0,0,0,0,0,2691534.804,977237.221,1071519.305,1174897.555,1071519.305,1023292.992,3019951.72,3019951.72,2691534.804,3321946.892,3321946.892,3321946.892
SDSSJ1316+1918,He,0.375,5160,7.639,-5.38,0,0,0,0,-10.3,0.4,0,0,-9.2,0.5,0,0,-9.1,0.5,0,0,0,0,0,0,0,0,0,0,4365158.322,1445439.771,2630267.992,1659586.907,1513561.248,1445439.771,5011872.336,5011872.336,4365158.322,5513059.57,5513059.57,5513059.57
SDSSJ1319+3641,He,0.763,7464,8.294,-5.22,0,0,0,0,-8.6,0.3,0,0,-7.4,0.3,0,0,-7.2,0.2,0,0,0,0,0,0,0,0,0,0,3981071.706,1513561.248,1621810.097,1819700.859,1698243.652,1584893.192,4466835.922,4466835.922,3981071.706,4913519.514,4913519.514,4913519.514
SDSSJ1320+0204,He,0.6,7356,8,-5.33,0,0,0,0,-8.3,0.3,0,0,-7.1,0.3,0,0,-7,0.3,0,0,0,0,0,0,0,0,0,0,3388441.561,1258925.412,1380384.265,1548816.619,1412537.545,1348962.883,3715352.291,3715352.291,3388441.561,4086887.52,4086887.52,4086887.52
SDSSJ1321-0237,He,0.6,5592,8,-5.6,0,0,0,0,-8.7,0.3,0,0,-7.3,0.3,-9.55,0.279203445,-6.9,0.2,0,0,-8.58,0.265432786,0,0,0,0,0,0,2511886.432,891250.9381,2454708.916,1071519.305,977237.221,933254.3008,2818382.931,2818382.931,2511886.432,3100221.224,3100221.224,3100221.224
SDSSJ1329+1301,He,0.381,6706,7.636,-5.33,0,0,0,0,-8.9,0.2,0,0,-8,0.3,0,0,-7.4,0.1,0,0,0,0,0,0,0,0,0,0,3467368.505,1288249.552,1412537.545,1584893.192,1445439.771,1380384.265,3890451.45,3890451.45,3467368.505,4279496.595,4279496.595,4279496.595
SDSSJ1336+3547,He,0.609,6172,8.057,-5.38,0,0,0,0,-8.9,0.1,0,0,-7.9,0.1,-9.8,0.109103573,-7.1,0.1,0,0,-9.4,0.066359549,0,0,0,0,0,0,3311311.215,1202264.435,1318256.739,1479108.388,1348962.883,1288249.552,3630780.548,3630780.548,3311311.215,3993858.603,3993858.603,3993858.603
SDSSJ1339+2643,He,0.622,6452,8.077,-5.35,0,0,0,0,-9,0.2,0,0,-8.4,0.2,0,0,-7.6,0.1,0,0,0,0,0,0,0,0,0,0,3801893.963,1318256.739,1513561.248,1584893.192,1479108.388,1412537.545,4265795.188,4265795.188,3801893.963,4692374.707,4692374.707,4692374.707
SDSSJ1340+2702,He,0.6,8413,8,-5.43,0,0,0,0,-7,0.1,0,0,-5.6,0.1,0,0,-5.1,0.1,0,0,-7.43,0.211104444,0,0,0,0,0,0,2454708.916,1000000,1071519.305,1230268.771,1148153.621,1071519.305,2754228.703,2754228.703,2454708.916,3029651.573,3029651.573,3029651.573
SDSSJ1342+1813,He,0.6,5524,8,-5.52,0,0,0,0,-9,0.5,0,0,-7.9,0.5,0,0,-7.8,0.5,0,0,0,0,0,0,0,0,0,0,3235936.569,1071519.305,1548816.619,1288249.552,1174897.555,1122018.454,3715352.291,3715352.291,3235936.569,4086887.52,4086887.52,4086887.52
SDSSJ1345+1153,He,0.689,6000,,-5.58,0,0,0,0,-8.1,0.1,0,0,-6.9,0.2,-8.7,0.223728185,-7,0.1,0,0,0,0,0,0,0,0,0,0,2398832.919,891250.9381,954992.586,1071519.305,977237.221,933254.3008,2691534.804,2691534.804,2398832.919,2960688.284,2960688.284,2960688.284
SDSSJ1347+1415,He,0.696,6520,8.194,-5.35,0,0,0,0,-8.6,0.2,0,0,-7.3,0.2,0,0,-7.1,0.1,0,0,0,0,0,0,0,0,0,0,3388441.561,1258925.412,1380384.265,1513561.248,1412537.545,1318256.739,3801893.963,3801893.963,3388441.561,4182083.359,4182083.359,4182083.359
SDSSJ1350+1058,He,0.902,5176,8.505,-5.38,0,0,0,0,-9.5,0.3,0,0,-8.3,0.5,0,0,-8.3,0.5,0,0,0,0,0,0,0,0,0,0,4570881.896,1548816.619,3019951.72,1659586.907,1548816.619,1479108.388,5128613.84,5128613.84,4570881.896,5641475.224,5641475.224,5641475.224
SDSSJ1351+2645,He,0.421,5640,7.73,-5.59,0,0,0,0,-8.5,0.2,0,0,-7.8,0.3,0,0,-7.9,0.2,0,0,0,0,0,0,0,0,0,0,2344228.815,851138.0382,933254.3008,1023292.992,954992.586,912010.8394,2570395.783,2570395.783,2344228.815,2827435.361,2827435.361,2827435.361
SDSSJ1356+2416,He,0.58,6173,8.01,-5.39,0,0,0,0,-9.1,0.2,0,0,-8.2,0.2,0,0,-7.3,0.2,0,0,0,0,0,0,0,0,0,0,3630780.548,1258925.412,1584893.192,1513561.248,1412537.545,1348962.883,4073802.778,4073802.778,3630780.548,4481183.056,4481183.056,4481183.056
SDSSJ1356+0236,He,0.595,7662,8.028,-5.27,0,0,0,0,-8,0.1,0,0,-6.7,0.2,0,0,-6.3,0.1,0,0,0,0,0,0,0,0,0,0,3162277.66,1288249.552,1380384.265,1584893.192,1479108.388,1380384.265,3548133.892,3548133.892,3162277.66,3902947.281,3902947.281,3902947.281
SDSSJ1401+3659,He,0.557,5931,7.973,-5.31,0,0,0,0,-10.1,0.1,0,0,-9.2,0.3,0,0,-8.1,0.3,0,0,0,0,0,0,0,0,0,0,4466835.922,1513561.248,2398832.919,1778279.41,1659586.907,1584893.192,5011872.336,5011872.336,4466835.922,5513059.57,5513059.57,5513059.57
SDSSJ1404+3620,He,0.709,6284,8.216,-5.41,0,0,0,0,-8.7,0.1,0,0,-8.3,0.2,0,0,-7.3,0.1,0,0,0,0,0,0,0,0,0,0,3548133.892,1230268.771,1584893.192,1479108.388,1348962.883,1288249.552,4073802.778,4073802.778,3548133.892,4481183.056,4481183.056,4481183.056
SDSSJ1405+2542,He,0.6,5890,8,-5.37,0,0,0,0,-9.5,0.4,0,0,-8.4,0.5,0,0,-7.8,0.3,0,0,0,0,0,0,0,0,0,0,3981071.706,1348962.883,2041737.945,1621810.097,1479108.388,1412537.545,4466835.922,4466835.922,3981071.706,4913519.514,4913519.514,4913519.514
SDSSJ1405+1549,He,0.621,7055,8.073,-5.3,0,0,0,0,-8.5,0.1,0,0,-7.3,0.1,0,0,-6.9,0.1,0,0,-9.18,0.102094643,0,0,0,0,0,0,3467368.505,1318256.739,1412537.545,1584893.192,1479108.388,1380384.265,3801893.963,3801893.963,3467368.505,4182083.359,4182083.359,4182083.359
SDSSJ1411+3410,He,0.807,5500,8.363,-5.64,0,0,0,0,-8.3,0.4,0,0,-7.1,0.5,-9.05,0.25377411,-6.6,0.2,0,0,-9.18,0.238539931,0,0,0,0,0,0,2398832.919,831763.7711,2290867.653,1000000,933254.3008,870963.59,2691534.804,2691534.804,2398832.919,2960688.284,2960688.284,2960688.284
SDSSJ1421+1843,He,0.562,6517,7.978,-5.43,0,0,0,0,-8.5,0.1,0,0,-7.3,0.2,0,0,-6.7,0.1,0,0,0,0,0,0,0,0,0,0,2570395.783,1023292.992,1096478.196,1258925.412,1148153.621,1096478.196,2884031.503,2884031.503,2570395.783,3172434.653,3172434.653,3172434.653
SDSSJ1428+4403,He,0.614,6574,8.064,-5.31,0,0,0,0,-9.5,0.1,0,0,-8.9,0.2,0,0,-7.9,0.1,0,0,0,0,0,0,0,0,0,0,3801893.963,1380384.265,1513561.248,1659586.907,1513561.248,1445439.771,4265795.188,4265795.188,3801893.963,4692374.707,4692374.707,4692374.707
SDSSJ1429+3841,He,0.375,5636,7.634,-5.31,0,0,0,0,-10.3,0.2,0,0,-9.2,0.5,0,0,-9.1,0.5,0,0,0,0,0,0,0,0,0,0,4365158.322,1479108.388,2344228.815,1778279.41,1621810.097,1548816.619,5011872.336,5011872.336,4365158.322,5513059.57,5513059.57,5513059.57
SDSSJ1430-0151,He,0.621,6344,8.076,-5.64,0,0,-8.85,0.180311911,-7.6,0.1,0,0,-6.4,0.1,-8.55,0.180311911,-6,0.1,0,0,-8.18,0.158153044,0,0,0,0,0,0,2041737.945,776247.1166,831763.7711,933254.3008,870963.59,812830.5162,2238721.139,2238721.139,2041737.945,2462593.253,2462593.253,2462593.253
SDSSJ1443+5833,He,0.6,7061,8,-5.28,0,0,0,0,-8.5,0.2,0,0,-7.3,0.2,0,0,-7.1,0.1,0,0,0,0,0,0,0,0,0,0,3715352.291,1380384.265,1513561.248,1698243.652,1548816.619,1479108.388,4168693.835,4168693.835,3715352.291,4585563.219,4585563.219,4585563.219
SDSSJ1443+3014,He,0.6,6955,8,-5.38,0,0,0,0,-8.1,0.3,0,0,-7.1,0.2,0,0,-6.5,0.2,0,0,0,0,0,0,0,0,0,0,3090295.433,1174897.555,1258925.412,1412537.545,1318256.739,1230268.771,3467368.505,3467368.505,3090295.433,3814105.356,3814105.356,3814105.356
SDSSJ1445+0913,He,0.6,7035,8,-5.46,0,0,0,0,-7.7,0.2,0,0,-6.6,0.2,0,0,-6.2,0.1,0,0,-7.53,0.218987473,0,0,0,0,0,0,2691534.804,1023292.992,1122018.454,1230268.771,1148153.621,1096478.196,3019951.72,3019951.72,2691534.804,3321946.892,3321946.892,3321946.892
SDSSJ1448+1047,He,0.682,6331,8.173,-5.34,0,0,0,0,-9.1,0.2,0,0,-7.8,0.2,0,0,-7.5,0.1,0,0,0,0,0,0,0,0,0,0,3630780.548,1318256.739,1445439.771,1584893.192,1445439.771,1380384.265,4073802.778,4073802.778,3630780.548,4481183.056,4481183.056,4481183.056
SDSSJ1500+2315,He,0.6,6630,8,-5.41,0,0,0,0,-8.2,0.4,0,0,-7,0.4,0,0,-6.6,0.2,0,0,0,0,0,0,0,0,0,0,3090295.433,1148153.621,1258925.412,1380384.265,1288249.552,1202264.435,3467368.505,3467368.505,3090295.433,3814105.356,3814105.356,3814105.356
SDSSJ1502+3744,He,0.624,5525,8.084,-5.36,0,0,0,0,-10.1,0.2,0,0,-8.9,0.5,0,0,-8.8,0.5,0,0,0,0,0,0,0,0,0,0,4570881.896,1513561.248,2818382.931,1737800.829,1584893.192,1513561.248,5128613.84,5128613.84,4570881.896,5641475.224,5641475.224,5641475.224
SDSSJ1507+4034,He,0.6,7304,8,-5.31,0,0,0,0,-8,0.2,0,0,-6.8,0.2,0,0,-6.3,0.1,0,0,0,0,0,0,0,0,0,0,3388441.561,1288249.552,1412537.545,1584893.192,1445439.771,1380384.265,3801893.963,3801893.963,3388441.561,4182083.359,4182083.359,4182083.359
SDSSJ1518+0506,He,0.672,5187,8.161,-5.47,0,0,0,0,-9.3,0.2,0,0,-8.7,0.3,0,0,-8.3,0.3,0,0,0,0,0,0,0,0,0,0,3890451.45,1230268.771,2187761.624,1445439.771,1348962.883,1288249.552,4365158.322,4365158.322,3890451.45,4801674.154,4801674.154,4801674.154
SDSSJ1524+4049,He,0.701,6203,8.203,-5.47,0,0,0,0,-8.4,0.1,0,0,-7.5,0.2,-9.15,0.148735641,-7.1,0.1,0,0,-8.68,0.120922665,0,0,0,0,0,0,3162277.66,1122018.454,1230268.771,1318256.739,1230268.771,1174897.555,3548133.892,3548133.892,3162277.66,3902947.281,3902947.281,3902947.281
SDSSJ1534+1242,He,0.6,6197,8,-5.58,0,0,0,0,-7.9,0.3,0,0,-6.7,0.3,0,0,-6.9,0.2,0,0,0,0,0,0,0,0,0,0,2454708.916,891250.9381,977237.221,1071519.305,1000000,933254.3008,2754228.703,2754228.703,2454708.916,3029651.573,3029651.573,3029651.573
SDSSJ1535+1247,He,0.682,5950,8.175,-5.54,0,0,-9.61,0.102267511,-8.6,0.1,-8.5,0.102267511,-7.5,0.1,-9.24,0.102267511,-7,0.1,0,0,-8.71,0.054393417,0,0,0,0,0,0,2754228.703,977237.221,1071519.305,1174897.555,1071519.305,1023292.992,3090295.433,3090295.433,2754228.703,3399324.976,3399324.976,3399324.976
SDSSJ1537+3608,He,0.6,5519,8,-5.42,0,0,0,0,-9.8,0.3,0,0,-8.6,0.5,0,0,-8.6,0.5,0,0,0,0,0,0,0,0,0,0,3801893.963,1288249.552,1995262.315,1513561.248,1412537.545,1318256.739,4365158.322,4365158.322,3801893.963,4801674.154,4801674.154,4801674.154
