wdid|request|name|wdname|gaiaedr3|icrsra|icrsdec|spectype|teff|Dteff|logg|Dlogg|mass|Dmass|logL|DlogL|age|Dage|loghhe|logche|logch|lognh|logohe|logoh|lognahe|lognah|logmghe|logmgh|logalhe|logalh|logsihe|logsih|logphe|logph|logshe|logsh|logclhe|logcahe|logcah|logsche|logsch|logtihe|logtih|logvhe|logcrhe|logcrh|logmnhe|logmnh|logfehe|logfeh|logcohe|lognihe|lognih|logcuhe|logznhe|loggahe|loggehe|logsrhe|parallax|Dparallax|Dpc|DDpc|variability|ismag|binarity|BD|hasdisk|pmra|pmdec|comp|allnames|velU|velV|velW|B|DB|Mv|V|DV|R|DR|I|DI|J|DJ|H|DH|K|DK|su|Dsu|sg|Dsg|sr|Dsr|si|Dsi|sz|Dsz|PS_g|DPS_g|PS_r|DPS_r|PS_i|DPS_i|PS_z|DPS_z|PS_y|DPS_y|G|DG|BP|RP|EBmV|nbUV|nbOpt
GJ 1060 A||Gaia EDR3 5060587895604134400|WD 0326-273|5060587895604134400|03 28 49.66|-27 18 54.08|DA|8324|28|7.241|0.006|0.263|0.002|-2.69|0.09|0.42||||||||||||||||||||||<-11.212||||||||||||||||||||43.5257564|0.027590504|22.97||NOV||DDu|||721.3377784|376.0459508|H|UBV 3357;PM 03267-2730;APMPM J0329-2719;WD 0326-27;L 587-77 A;Gaia DR2 5060587895604134400;EGGR 22;WD 0326-278;LP 888-64;GJ 1060 A;WDS J03289-2723A;LHS 1549;NLTT 11047;WD 0326-273;LFT 286;WD 0327-273;LTT 1648;L 587-55 A;CSI-27-03267;TIC 144538917;** LDS 9154A;[PS72] 495;2MASS J03284874-2719005;LPM 154;LAWD 14;Gaia EDR3 5060587895604134400;J0328-2718;WDJ032848.80-271900.09;J0329-2719;J0328-2723;J0328-2719;J0328-2718|46.7|-29.7|47.2|14||11.69|13.77||||||13.22|0.1|13.11|0.09|13.1|0.12|14.42|0.03|||||||||13.67510033|0.004629|13.65719986|0.001836|13.70750046|0.015844001|13.83619976|0.001725|13.88930035|0.003793|13.587359|0.000639718|13.685072|13.403924|0|0|4
GJ 1086||Gaia EDR3 3218697767783768320|WD 0548-001|3218697767783768320|05 51 19.60|-00 10 17.48|DQ|6235|4|8.202|0.001|0.701|0.002|-3.8|0.03|3.48||-4.3|-6.47|||||||||||||||||||||||||||||||||||||||89.1120674|0.021058416|11.22|||yes||15||112.6395393|226.8027759|He|UBV M 53729;USNO 504;2MASS J05511947-0010213;WD 0548-00;Gaia DR2 3218697767783768320;SDSS J055119.47-001021.4;NLTT 15714;TIC 176670072;GEN# +9.80099037;GJ 1086;WD 0548-001;G 106-4;LTT 17876;SDSS J055119.49-001020.6;EGGR 248;G 99-37;PLX 1343.01;Gaia EDR3 3218697767783768320;J0551-0010;G99-037;WDJ055119.48-001021.11;J0551-0010|4.6|6.3|10.5|15.06||14.36|14.6||14.21||13.96||13.70768|0.00222|13.675|0.026|13.56318|0.0039|15.30623|0.00374|14.999|0.005|14.573|0.003|14.548|0.007|14.436|0.007|14.77169991|0.001408|14.40250015|0.002276|14.34759998|0.000306|14.38599968|0.002107|14.43780041|0.002235|14.425181|0.000996096|14.690135|13.992338|0|0|4
GJ 1098||Gaia EDR3 1089400763661597440|WD 0728+642|1089400763661597440|07 33 30.98|64 09 23.31|DAP|5205|13|7.879|0.006|0.511|0.005|-3.93|0.03|3.21||||||||||||||||||||||||||||||||||||||||||50.06421574|0.03907864|19.97|||yes||0.3||42.26607736|-257.5390042|H|TIC 85206778;EGGR 321;2MASS J07333087+6409276;PM J07335+6409;NLTT 18007;LP 58-247;WISEA J073330.94+640924.7;G 234-4;WD 0728+642;WD 0728+64;LSPM J0733+6409;GJ 1098;USNO-B1.0 1541-00151784;Gaia DR2 1089400763661597440;Gaia EDR3 1089400763661597440;J0733+6409;WDJ073330.88+640927.44;G234-004;07335+6409;J0733+6409|-4.5|-9.2|3.9|17.07||14.75|16.22||15.81||15.32||14.516|0.04|14.385|0.065|14.385|0.066|16.5425|0.00509|||||||||16.54249954|0.005166|15.97029972|0.00333|15.75329971|0.002337|15.67870045|0.001205|15.64159966|0.004564|16.000692|0.002829379|16.438784|15.398046|0|0|1
GJ 1102 A||Gaia EDR3 3144837318276010624|WD 0747+073.2|3144837318276010624|07 50 14.81|07 11 20.40|DC|4736|14|7.953|0.007|0.55|0.006|-4.2||6.53||||||||||||||||||||||||||||||||||||||||||54.96747099|0.061062165|18.19||||DDr|||211.5197173|-1782.61838|H|LHS 240;EGGR 427;PM J07502+0711S;WDS J07503+0713A;WD 0747+073.2;GJ 1102 A;2MASS J07501534+0711373;LP 543-33;LP 542-33;WISEA J075015.48+071117.3;TIC 220590405;USNO-B1.0 0971-00181649;LSPM J0750+0711S;USNO 827;NLTT 18507;** LDS 3765A;WD 0747+073.1;WD 0747+073A;WD 0747+073B;Gaia EDR3 3144837318276010624;J0750+0711;WDJ075014.58+071148.92;Gaia DR2 3144837112117580800;07502+0711N;WDJ075015.34+071137.10;J0750+0711;J0750+0713||||17.69||15.65|16.69||16.05||15.55||15|0.04|14.72|0.07|14.63|0.1|18.963|0.03|17.171|0.004|16.304|0.004|15.986|0.004|15.867|0.006|17.02799988|0.005208|16.30719948|0.003963|16.00989914|0.001893|15.91119957|0.005744|15.84049988|0.0113|16.592018|0.005248554|17.233765|15.833418|0|0|1
GJ 1102 B||Gaia EDR3 3144837112115126400|WD 0747+073.1|3144837112115126400|07 50 15.57|07 11 08.45|DC|4354|17|7.831|0.01|0.478|0.008|-4.19||6.77||||||||||||||||||||||||||||||||||||||||||55.10484643|0.05568983|18.15||||DDr|||209.9102877|-1790.495846|H|WISEA J075014.73+071130.2;** LDS 3765B;LHS 239;USNO-B1.0 0971-00181641;LP 542-32;NLTT 18505;WD 0747+073.1;WDS J07503+0713B;PM J07502+0711N;LSPM J0750+0711N;USNO 828;LP 543-32;GJ 1102 B;2MASS J07501457+0711490;EGGR 426;TIC 220590402;WD 0747+073.2;WD 0747+073B;WD 0747+073A;Gaia EDR3 3144837112115126400;J0750+0711;WDJ075015.34+071137.10;Gaia DR2 3144837318276010624;07502+0711S;WDJ075014.58+071148.92;J0750+0711;J0750+0713||||18.17||15.44|16.99||16.31||15.7||15.03|0.04|14.9|0.08|14.75|0.1|19.729|0.03|17.625|0.005|16.562|0.004|16.172|0.004|15.997|0.007|17.43840027|0.007111|16.57449913|0.001756|16.18449974|0.00463|16.05010033|0.00616|15.99699974|0.012676|16.343563|0.005121948|16.889107|15.655408|0|0|1
GJ 1112||Gaia EDR3 710766750855439360|WD 0827+328|710766750855439360|08 30 39.27|32 41 38.80|DA|7407|19|8.443|0.005|0.878|0.004|-3.62||3.32||||||||||||||||||||||||||||||||||||||||||44.6653538|0.0398835|22.39|||||||-147.7341426|-527.0866093|H|G 51-16;GEN# +9.80051016;WD 0827+328;NLTT 19653;WD 0827+32;KUV 08275+3252;SDSS J083039.43+324146.1;PM J08306+3241;USNO 312;Gaia DR2 710766750855439360;LTT 18061;LSPM J0830+3241;EGGR 249;TIC 172842159;WIRED J083039.44+324146.1;LHS 2022;SDSS J083039.44+324146.1;GJ 1112;GCRV 21704;2MASS J08303949+3241481;PLX 2017.01;USNO-B1.0 1226-00204820;Gaia EDR3 710766750855439360;Gaia DR3 710766750855439360;J0830+3241;WDJ083039.46+324147.23;08306+3241;SDSS_J083039.43+324146.1;J0830+3241|4.1|-45.4|-6.6|16.05||13.94|15.73||15.51||15.26||15.06123|0.00564|14.964|0.076|14.865|0.122|16.24123|0.00597371|15.80495|0.004009304|15.66062|0.004786433|15.67731|0.005382934|15.68618|0.00668981|15.80150032|0.001516|15.68220043|0.001673|15.67399979|0.004459|15.73579979|0.007208|15.77770042|0.008656|15.637096|0.001500482|15.80243|15.332115|0|0|4
GJ 1133||Gaia EDR3 1052520154368111872|WD 1019+637|1052520154368111872|10 23 09.78|63 27 45.04|DA|6781|15|8.041|0.004|0.616|0.004|-3.46||1.81||||||||||||||||||||||<-11.689||||||||||||||||||||62.73242176|0.017548377|15.94|||||||299.9411323|222.0275442|H|USNO 608;WISEA J102309.51+632743.7;2MASS J10230906+6327415;GJ 1133;USNO-B1.0 1534-00187628;LP 62-147;SDSS J102309.06+632741.6;PLX 2428.01;Gaia DR2 1052520154368111872;WD 1019+637;LSPM J1023+6327;WD 1019+63;PM J10231+6327;EGGR 350;G 235-67;NLTT 24154;TIC 287286376;Gaia EDR3 1052520154368111872;J1023+6327;WDJ102309.06+632741.49;10231+6327;J1023+6327|-14.7|17.9|3.5|15.08||13.53|14.71||14.45||14.17||13.874|0.026|13.733|0.046|13.692|0.048|15.45786|0.0045|14.812|0.003|14.632|0.004|14.553|0.004|14.58|0.005|14.82769966|0.00597|14.61919975|0.00415|14.56669998|0.007278|14.62479973|0.002994|14.64960003|0.008457|14.59287|0.001082142|14.795179|14.235705|0|0|2
GJ 1179 B||Gaia EDR3 1251824057289839744|WD 1345+238|1251824057289839744|13 48 01.28|23 34 48.44|DC|4618|9|7.798|0.006|0.462|0.004|-4.09||5.36||||||||||||||||||||||<-12.768||||||||||||||||||||84.31052433|0.028874354|11.86||||WDMS|||-1485.655683|125.0099802|H|WD 1345+234;TIC 328936612;2MASS J13480299+2334462;LHS 361;WISEA J134801.86+233447.8;WD 1345+23;USNO-B1.0 1135-00204107;Gaia DR2 1251824057289839744;NLTT 35281;LP 380-5;GEN# +9.85380005;EGGR 438;PM J13480+2334;LSPM J1348+2334;WD 1345+238;WDS J13484+2337B;USNO 536;GJ 1179 B;Gaia EDR3 1251824057289839744;J1348+2334;WDJ134803.01+233446.44;13480+2334;J1348+2334;J1348+2337|67|-47.4|20.1|16.86||15.56|15.65||15.12||14.58||13.921|0.027|13.669|0.036|13.621|0.04|18.118|0.03|16.18|0.004|15.306|0.004|27.976|0.031|14.823|0.005|16.06389999|0.001303|15.30729961|0.001767|14.98779964|0.005159|14.87489986|0.0027|14.81330013|0.008294|15.338058|0.001992331|15.894626|14.625719|0|0|3
GJ 1201||Gaia EDR3 4452521234885949184|WD 1625+093|4452521234885949184|16 27 53.38|09 12 08.49|DA|6865|12|8.365|0.003|0.826|0.003|-3.81||3.56||||||||||||||||||||||||||||||||||||||||||39.85582927|0.03975985|25.09|||||||-96.73016446|-470.6032792|H|G 138-31;NLTT 42858;USNO 335;USNO 750;EGGR 327;PM J16278+0912;2MASS J16275347+0912159;WD 1625+09;WD 1625+093;USNO-B1.0 0992-00269959;PLX 3740.04;GEN# +9.80138031;Gaia DR2 4452521234885949184;LSPM J1627+0912;LHS 6305;TIC 318945751;GJ 1201;Gaia EDR3 4452521234885949184;J1627+0912;WDJ162753.49+091216.02;G138-031;16278+0912;J1627+0912|-23.9|-46.7|-12.3|16.48||14.4|16.14||15.87||15.62||15.31892|0.00748|15.187|0.103|15.036|0.142|16.83808|0.00757|16.262|0.004|16.058|0.004|15.994|0.005|16.026|0.007|16.25370026|0.007799|16.05369949|0.013498|16.04809952|0.002991|16.04199982|0.008855|16.08230019|0.003065|16.031952|0.00278155|16.23774|15.675571|0.001|0|4
GJ 1211||Gaia EDR3 4388138816124225792|WD 1705+030|4388138816124225792|17 08 07.95|02 57 30.72|DZ|6259|16|8.07|0.005|0.616|0.005|-3.68||2.48||-4|||||||||||||||||||-10.01|||||||||||||||||||||56.03750549|0.025768792|17.85|||||||-11.92989057|-397.7809239|He|USNO 255;GJ 1211;uvby98 980139013;WD 1705+03;NLTT 44219;PLX 3889.01;EGGR 494;WISEA J170807.95+025732.8;UBV M 53792;LSPM J1708+0257;GEN# +9.80139013;PM J17081+0257;WD 1705+030;2MASS J17080796+0257369;G 139-13;Gaia DR2 4388138816124225792;USNO-B1.0 0929-00373355;TIC 297505272;Gaia EDR3 4388138816124225792;J1708+0257;WDJ170807.97+025737.08;G139-013;17081+0257;J1708+0257|-16.6|-23.1|-13.4|15.63||13.89|15.194||14.96||14.74||14.499|0.032|14.511|0.078|14.511|0.078|15.2765|0.00084|||||||||15.27600002|0.008239|15.11870003|0.005988|15.11900043|0.004977|15.20049953|0.002317|15.25059986|0.008539|15.095572|0.001138801|15.28722|14.777|0.001|0|4
GJ 1221||Gaia EDR3 1638979384378696704|WD 1748+708|1638979384378696704|17 48 03.87|70 52 53.67|DXP|5058|5|8.028|0.003|0.586|0.002|-4.08||5.89||||||||||||||||||||||||||||||||||||||||||160.9952449|0.011894624|6.21|||yes||>100||-1266.387171|1108.80071|He|WD 1748+70;8pc 164.70;PLX 4085.11;LP 44-113;Gaia DR2 1638979384378696704;USNO-B1.0 1608-00117171;Zkh 268;TIC 233212451;PM J17481+7052;G 240-72;USNO 346;LHS 455;NLTT 45565;WISEA J174805.31+705247.5;EGGR 372;GEN# +9.80240072;LSPM J1748+7052;2MASS J17480817+7052353;GJ 1221;WD 1748+708;Gaia EDR3 1638979384378696704;J1748+7052;WDJ174807.99+705235.92;17481+7052;J1748+7052|5.8|-10.8|34.2|14.61||15.2|14.15||13.6||13.08||12.528|0.023|12.507|0.023|12.5||14.2881|0.00167|||||||||14.30090046|0.004975|13.79839993|0.000521|13.52960014|0.001993|13.44690037|0.003541|13.45069981|0.002646|13.778201|0.001019554|14.179064|13.176234|0|0|2
GJ 1228||Gaia EDR3 2150504594853811456|WD 1829+547|2150504594853811456|18 30 19.78|54 47 31.81|DXP|6482|16|8.396|0.004|0.831|0.004|-3.83|0.04|4.05||||||||||||||||||||||||||||||||||||||||||58.70115958|0.025382891|17.04|||yes||175||-267.03649|287.6903643|He|TIC 390019679;LSPM J1830+5447;G 227-35;NLTT 46621;USNO 555;WD 1829+54;EGGR 374;Gaia DR2 2150504594853811456;PLX 4267.01;PM J18303+5447;GEN# +9.80227035;USNO-B1.0 1447-00273269;WD 1829+547;GJ 1228;2MASS J18302027+5447272;Gaia EDR3 2150504594853811456;J1830+5447;WDJ183020.27+544727.21;G227-035;18303+5447;J1830+5447|2.8|-0.7|24.3|16.06||14.36|15.53||15.28||15.04||14.478|0.053|14.505|0.078|14.51|0.08|15.7214|0.0026|||||||||15.72140026|0.0026|15.44540024|0.002094|15.42420006|0.002039|15.49870014|0.003156|15.62919998|0.005295|15.451032|0.002109377|15.67017|15.090512|0.001|0|1
GJ 1234||Gaia EDR3 2052891361294411520|WD 1917+386|2052891361294411520|19 18 58.67|38 43 17.45|DC|6070|11|8.041|0.003|0.597|0.003|-3.77||2.66||-3||||||||||||||||||||||||||||||||||||||||84.24434883|0.016932584|11.87|||||||25.20043737|-251.6767046|He|USNO 177;USNO-B1.0 1287-00331267;WISEA J191858.64+384318.8;TIC 394178499;WD 1917+386;EGGR 375;UBV M 53763;PLX 4523.01;GJ 1234;WD 1917+38;1SWASP J191858.65+384321.8;Gaia DR2 2052891361294411520;SDSS J191858.65+384319.9;LSPM J1918+3843;G 208-17;NLTT 47677;UCAC2 45369502;PM J19189+3843;GEN# +9.80125003;2MASS J19185863+3843214;G 125-3;Gaia EDR3 2052891361294411520;J1918+3843;WDJ191858.63+384321.48;G125-003;19189+3843;J1918+3843|-5.2|-5.7|-8.6|15.06||14.27|14.59||14.31||14.04||13.72259|0.00282|13.669|0.032|13.519|0.025|15.42394|0.00443|14.722|0.003|14.446|0.003|14.369|0.003|14.381|0.004|14.75249958|0.00266|14.49779987|0.005669|14.43050003|0.001877|14.44330025|0.003482|14.45740032|0.003153|14.468728|0.000841676|14.70764|14.069847|0|0|1
GJ 1260||Gaia EDR3 1841683423932168832|WD 2111+261|1841683423932168832|21 13 46.05|26 21 27.23|DA|8073|28|7.457|0.013|0.332|0.007|-3.2||0.59||||||||||||||||||||||<-11.406||||||||||||||||||||31.55559996|0.23916283|31.69||||DDu|||103.5468779|-378.9508659|H|TIC 387327138;GJ 1260;WD 2111+26;G 187-32;EGGR 447;PLX 5105.01;LSPM J2113+2621;L 1433-34;USNO-B1.0 1163-00548375;USNO 465;WISEA J211346.00+262129.2;LTT 16224;2MASS J21134593+2621331;PM J21137+2621;uvby98 980187032;LP 397-40;WD 2111+261;NLTT 50825;Gaia EDR3 1841683423932168832;J2113+2621;WDJ211345.93+262133.27;Gaia DR2 1841683423932168832;21137+2621;J2113+2621||||14.92||13|14.68||14.52||14.36||14.116|0.041|14.095|0.057|14.07||14.7443|0.00562|||||||||14.74429989|0.005617|14.69740009|0.002073|14.7361002|0.0091|14.81219959|0.005692|14.86999989|0.007219|14.622775|0.001297099|14.743388|14.394731|0.001|0|2
GJ 1275||Gaia EDR3 1884744525522874880|WD 2248+293|1884744525522874880|22 51 24.56|29 39 46.65|DA|5516|12|7.624|0.006|0.386|0.004|-3.62||1.76||||||||||||||||||||||<-12.386||||||||||||||||||||50.05182171|0.19301312|19.98|||||||1246.045075|138.2143119|H|G 128-7;UBV M 53769;WD 2248+29;TIC 44195838;EGGR 283;USNO-B1.0 1196-00584540;2MASSW J2251228+293944;GJ 1275;USNO 199;SDSS J225123.66+293945.3;2MASS J22512282+2939440;PLX 5534.01;WISEA J225124.05+293945.9;UCAC2 42339229;LHS 529;WIRED J225123.66+293945.4;Gaia DR2 1884744525522874880;LSPM J2251+2939;G 189-40;SDSS J225123.67+293945.4;WD 2248+293;WD 2248+294;PM J22513+2939;NLTT 55053;GEN# +9.80128007;Gaia EDR3 1884744525522874880;Gaia DR3 1884744525522874880;J2251+2939;WDJ225123.02+293944.49;22513+2939;J2251+2939|111.2|-29.8|-43|16.2||13.67|15.55||15.14||14.75||13.98|0.03|13.87|0.03|13.941|0.044|16.80635|0.007270717|15.77768|0.003678866|15.32056|0.00421066|15.14731|0.004363084|15.10064|0.005389557|15.73219967|0.002109|15.34449959|0.002508|15.14929962|0.002058|15.13199997|0.003014|15.1225996|0.00407|15.341885|0.001313666|15.680044|14.820234|0.001|0|3
GJ 1276||Gaia EDR3 2611561706216413696|WD 2251-070|2611561706216413696|22 53 56.06|-06 47 05.39|DZ|4323|2|8.141|0.002|0.657|0.002|-4.4|0.01|8.03||-5|||||||||||||||||||-9.25|||||||||||||||||||||117.1388422|0.03412185|8.54|||||||2485.79883|-681.2536063|He|WISEA J225355.16-064701.7;UCAC2 29570570;TIC 36694741;PLX 5548.01;USNO-B1.0 0832-00736944;GJ 1276;USNO 473;WD 2251-07;LHS 69;EGGR 453;NLTT 55164;LP 701-29;WD 2251-070;Gaia DR2 2611561706216413696;UCAC3 167-332649;2MASS J22535314-0646536;Zkh 339;Gaia EDR3 2611561706216413696;J2253-0647;J2253-0646;WDJ225353.39-064654.49;J2253-0647;J2253-0646|68|-48.2|-50|17.55||16.04|15.7||15.11||14.56||14.013|0.026|13.685|0.036|13.546|0.053|19.641|0.03|16.533|0.004|15.336|0.004|14.99|0.004|14.834|0.005|16.32060051|0.001367|15.33479977|0.001544|15.02340031|0.001387|14.91790009|0.004889|14.86270046|0.001806|15.421229|0.000442244|16.081415|14.661167|0|0|5
GJ 2012||Gaia EDR3 2349916559152267008|WD 0038-226|2349916559152267008|00 41 25.49|-22 21 08.40|DQ|5307|7|7.948|0.003|0.538|0.003|-3.94|0.03|4.42||-1.41|-8|||||||||||||||||||||||||||||||||||||||109.9276417|0.02020457|9.1|||||||-463.2060421|-381.7838949|He|LHS 1126;WD 0038-22;uvby98 980266157;BPS CS 29527-0054;GEN# +9.80266157;GJ 2012;LEHPM 891;G 266-157;PM 00390-2237;EGGR 246;WD 0038-226;G 268-27;WISEA J004125.67-222106.3;SDSS J004125.80-222104.9;G 66-57;LFT 65;2MASS J00412604-2221020;PLX 120.11;LEHPM 889;NLTT 2258;TIC 27986571;LTT 375;LP 825-669;L 651-57;Gaia EDR3 2349916559152267008;J0041-2221;Gaia DR2 2349916559152267008;WDJ004126.03-222102.29;J0041-2221|-24.9|-4.6|-1.2|15.15||14.71|14.49||14.08||13.67||13.39581|0.0013|13.483|0.033|13.71862|0.00375|15.76244|0.00592|14.823|0.003|14.272|0.003|14.075|0.003|13.994|0.004|14.75629997|0.001023|14.2883997|0.003597|14.11139965|0.002532|14.0564003|0.005004|14.0323|0.002885|14.297183|0.000931829|14.665041|13.753858|0|0|4
GJ 2076||Gaia EDR3 5242316444456199808|WD 0954-710|5242316444456199808|09 55 22.45|-71 18 10.04|DA|14280|210|7.8|0.02|0.51|0.02|||||||||||||||||||||||||||||||||||||||||||||32.72808229|0.018152695|30.55|||||||-130.3560272|-104.7653961|H|UCAC3 38-42976;WD 0954-710;GJ 2076;WD 0954-71;2MASS J09552288-7118083;GEN# +6.00206082;TIC 371809162;BPM 6082;L 64-27;DENIS J095522.9-711808;uvby98 600206082;Gaia EDR3 5242316444456199808;095522.89-711808.37;Gaia DR2 5242316444456199808;WDJ095522.89-711808.37;J0955-7118||||13.6||11.03|13.48||13.71|0.08|13.64|0.02|13.794|0.026|13.84|0.03|13.92|0.05|||||||||||||||||||||13.537841|0.000835788|13.507887|13.63803|0.001|1|1
GJ 2080||Gaia EDR3 3882611201058534400|WD 1026+117|3882611201058534400|10 29 07.88|11 27 14.37|DAH|7041|25|8.335|0.005|0.806|0.005|-3.47||3.12||||||||||||||||||||||||||||||||||||||||||29.62518502|0.060799863|33.76|||yes||18||383.2209425|-306.7305592|H|TIC 392797216;Gaia DR2 3882611201058534400;WD 1026+117;USNO-B1.0 1014-00185042;G 43-54;SDSS J102907.55+112718.3;NLTT 24473;GEN# +9.80043054;LHS 2273;WD 1026+11;LSPM J1029+1127;PM J10291+1127;GJ 2080;2MASS J10290747+1127193;SDSS J102907.54+112718.3;LTT 12808;Gaia EDR3 3882611201058534400;J1029+1127;WDJ102907.46+112719.28;10291+1127;J1029+1127||||17.09||13.3|16.65||16.38||16.17||15.8842|0.0074|15.7576|0.013|15.7097|0.0181|17.33775|0.00961|16.69|0.004|16.49|0.004|16.447|0.004|16.498|0.009|16.71089935|0.008767|16.51840019|0.003499|16.49410057|0.002465|16.53039932|0.001794|16.6121006|0.008385|16.50483|0.007899985|16.705719|16.155111|0.001|0|2
GJ 2092||Gaia EDR3 5860131207828395648|WD 1223-659|5860131207828395648|12 26 41.93|-66 12 21.39|DA|7491|107|7.76|0.05|0.45|0.06|-3.16||0.8||||||||||||||||||||||||||||||||||||||||||64.98778522|0.014953448|15.39|||||||-33.76604767|-182.8824598|H|BPM 7543;Gaia DR2 5860131207828395648;GCRV 27460;NLTT 30737;L 104-2;WD 1223-659;TIC 286661397;GEN# +6.00207543;WG 21;uvby98 600207543;GJ 2092;WD 1223-65;2MASS J12264202-6612186;Gaia EDR3 5860131207828395648;L 104-002;WDJ122642.02-661218.47;J1226-6612|0.7|0.1|-8.4|14.37||12.89|13.952||||||13.33|0.04|13.26|0.06|13.3|0.06|||||||||||||||||||||13.9216|0.000974975|14.069917|13.649583|0|0|1
GJ 2131 B||Gaia EDR3 4149820323678136192|WD 1743-132|4149820323678136192|17 45 54.62|-13 17 53.84|DA|12850|210|8|0.05|0.61|0.03|||||||||||||||||||||||||||||||||||||||||||||25.77473237|0.037564863|38.8||NOV||yes|||56.43603824|96.68792934|H|WD 1743-132;2MASS J17455455-1317554;WD 1743-131;WD 1743-13;EGGR 175;WDS J17459-1318B;G 154-B5B;** SKF 306B;GJ 2131 B;Gaia DR2 4149820323678136192;UBV 15077;G 154-B5;TIC 419437886;CSI-13-17431 2;Gaia EDR3 4149820323678136192;WDJ174554.56-131755.39;J1745-1317;J1745-1318||||14.38||11.55|14.22|0.05|||||14.632|0.042|14.602|0.081|14.634|0.099|||||||||||14.5284996|0.00209|14.72570038|0.002377|14.94649982|0.00251|15.13990021|0.009439|15.26490021|0.00871|14.581335|0.000962941|14.583424|14.592812|0.001|0|1
GJ 2135||Gaia EDR3 4152557420406043264|WD 1821-131|4152557420406043264|18 24 04.32|-13 08 52.52|DAZ|6124|29|8.045|0.008|0.616|0.007|-3.73|0.05|2.39||||||||||||||||||||||-10.706||||||||||||||||||||52.46918029|0.03869167|19.06|||||||-205.5029261|-638.9334112|H|LHS 3384;2MASS J18240453-1308426;WD 1821-131;Gaia DR2 4152557420406043264;TIC 332582508;NLTT 46408;G 155-15;GEN# +9.80155015;EGGR 176;GJ 2135;WD 1821-13;Gaia EDR3 4152557420406043264;J1824-1308;WDJ182404.55-130842.29;J1824-1308|-44.9|-75.4|-13|16.11||14.21|15.56||15.21||14.79||14.28|0.03|14.21|0.03|14.21||15.728|0.00662|||||||||15.72799969|0.006619|15.39680004|0.008066|15.28569984|0.002515|15.29220009|0.003282|15.25199986|0.004336|15.399646|0.002383692|15.678224|14.948207|0.001|0|3
GJ 2139||Gaia EDR3 4107012041007171456|WD 1840-111|4107012041007171456|18 42 57.49|-11 08 57.20|DA|9937|19|8.073|0.003|0.644|0.003|||0.71||||||||||||||||||||||<-9.743||||||||||||||||||||41.39989256|0.026474858|24.15||NOV|||||-232.7951111|-251.1095329|H|LP 751-14;L 849-15;uvby98 980155034;DENIS J184257.7-110852;WDS J18430-1109A;2MASS J18425775-1108531;TIC 162708220;GEN# +9.80155034;GJ 2139;LTT 7421;WD 1840-11;** KPP 2763A;NLTT 46893;UCAC4 395-088788;EGGR 200;WD 1840-111;G 155-34;Gaia EDR3 4107012041007171456;J1842-1108;Gaia DR2 4107012041007171456;WDJ184257.75-110853.18;J1842-1108;J1843-1109||||||12.57|||14.46|0.12|14.01|0.03|14.04|0.06|14.16|0.07|14.16|0.07|14.2203|0.00215|||||||||14.22029972|0.002147|14.29389954|0.000195|14.44629955|0.008392|14.58839989|0.002316|14.67269993|0.001479|14.175518|0.00116007|14.226593|14.05788|0.001|0|1
GJ 2145||Gaia EDR3 4320303621677848832|WD 1912+143|4320303621677848832|19 14 35.88|14 28 19.56|DA|6952|41|8.216|0.009|0.727|0.008|-3.89||2.38||||||||||||||||||||||||||||||||||||||||||25.5599559|0.05312048|39.12|||||||-97.083817|-395.1571236|H|NLTT 47570;PLX 4484.11;USNO 559;PM J19146+1428;USNO-B1.0 1044-00443642;LSPM J1914+1428;GJ 2145;Gaia DR2 4320303621677848832;G 142-20;GEN# +9.80142020;WD 1912+143;Gaia EDR3 4320303621677848832;J1914+1428;WDJ191435.99+142825.88;1912+143;G142-020;19146+1428;J1914+1428||||16.5||14.59|16.03||||||15.87|0.01|15.85|0.03|15.032|0.105|16.9423|0.00729|||||||||16.93759918|0.002593|16.75819969|0.003071|16.71319962|0.004921|16.7432003|0.004538|16.76679993|0.009066|16.70864|0.003449882|16.922823|16.363977|0.002|0|1
GJ 2147||Gaia EDR3 6749419923164242816|WD 2007-303|6749419923164242816|20 10 56.43|-30 13 10.62|DA|16041|233|7.95|0.04|0.55|0.1|-1.97||0.15||||||||||||||||||||||<-8.838||||||||||||||||||||61.69348763|0.032288823|16.21|||||||-340.8664868|-249.4228224|H|2MASS J20105686-3013064;USNO-B1.0 0597-00910820;HIP 99438;LTT 7987;TYC 7441-1025-1;L 565-18;HIC 99438;WD 2007-303;NLTT 48829;WISEA J201056.57-301309.2;Gaia DR2 6749419923164242816;EC 20078-3022;GJ 2147;CD-30 17706;UCAC2 19292099;TIC 48938394;LP 926-40;Gaia EDR3 6749419923164242816;WDJ201056.85-301306.63;J2010-3013|-22|-18.3|18|12.286||11.11|12.24|0.01|12.311||12.381||12.583|0.024|12.641|0.027|12.698|0.032|||||||||||||||||||||12.258787|0.001082652|12.2149935|12.370263|0|1|3
