wdid,name,icrsra,icrsdec,spectype,teff,logg,Dpc,V,su
HD 340611,Gaia EDR3 1831553382794173824,20 34 21.41,25 03 40.74,DA,20295.1236,7.945533,14.83,11.55,
HE 0426-0455,Gaia EDR3 3202808828330265088,04 29 26.17,-04 48 44.64,DA,13846.0,8.051,39.34,14.45,14.696
HG 8-7,Gaia EDR3 66144699680456320,04 04 34.29,25 08 48.22,DA,12378.1596,8.045288,26.47,,
HS 1443+2934,Gaia EDR3 1282448170543051648,14 45 28.38,29 21 32.04,DA,12305.0904,7.95855,38.39,,14.87
HS 1544+3800,Gaia EDR3 1376326912864142336,15 46 05.34,37 51 27.72,DA,13065.0,8.05,37.48,14.46,14.758
HZ 4,Gaia EDR3 3302846072717868416,03 55 22.18,09 47 18.05,DA,14638.8898,8.306858,34.98,14.47,
L 1046-18 B,Gaia EDR3 3701290326205270528,12 16 51.17,02 58 06.89,DA,6751.0,7.81,23.38,15.32,16.178
L 270-31,Gaia EDR3 5945252202546434432,17 47 47.01,-52 07 12.60,DA,20000.0,8.0,38.92,15.62,
L 462-56 B,Gaia DR2 5436014972680358272,09 36 59.50,-37 21 24.10,DA,7920.0,8.04,26.26,15.18,
L 50-73,Gaia EDR3 4689789625044431616,00 13 50.69,-71 49 58.22,DA,6340.0,7.89,18.80,15.17,
L 577-71,Gaia EDR3 2313836325604479616,23 54 00.68,-33 16 37.52,DA,8663.0,8.03,23.20,13.56,
L 870-2,Gaia EDR3 2480523216087975040,01 38 00.02,-04 59 50.27,DA+DA,7168.0,7.163,12.62,12.84,14.983
LAMOST J033149.69+305944.92,LAMOST J033149.68+305944.9,03 31 49.69,30 59 44.92,DA,20152.0,8.57,25.0,,
LAMOST J053931.86+285456.66,LAMOST J053931.86+285456.66,05 39 31.86,28 54 56.66,DA,23865.0,8.63,15.0,,
LAMOST J054613.53+255031.70,LAMOST J054613.52+255031.7,05 46 13.53,25 50 31.70,DA,20760.0,7.95,27.0,,
LAMOST J063517.47+054917.94,LAMOST J063517.47+054917.94,06 35 17.47,05 49 17.94,DA,22885.0,7.48,38.0,,
LAMOST J064438.16+030704.39,LAMOST J064438.16+030704.39,06 44 38.16,03 07 04.39,DA,12067.0,8.37,5.0,,
LAWD 11,Gaia EDR3 104648944047154432,02 08 47.71,25 14 08.05,DA,18836.0,7.566,39.08,,13.331
LAWD 13,Gaia EDR3 4645960583300470656,02 56 19.30,-70 22 12.65,DA,10743.0,8.07,25.23,14.07,
LAWD 23,Gaia EDR3 943770757800160384,06 47 37.68,37 30 42.06,DA,21161.0,8.187,17.08,12.06,12.069
LAWD 24,Gaia EDR3 5536077746353130240,07 33 37.91,-42 53 46.42,DA,15570.0,8.12,33.70,14.16,
LAWD 26,Gaia EDR3 5273943488410008832,07 53 12.28,-67 47 55.22,DA,5620.0,7.96,8.17,13.96,
LAWD 33,Gaia EDR3 5353122722363361920,10 55 12.89,-55 19 01.16,DA,14770.0,8.0,35.35,14.32,
LAWD 52,Gaia EDR3 1686708050268594944,13 38 49.21,70 17 07.25,DAZ,20622.7009,7.948771,26.50,12.77,
LAWD 53,Gaia EDR3 6177238676273826304,13 51 22.76,-27 34 00.97,DA,9166.0,7.853,37.61,15.0,
LAWD 80,Gaia EDR3 6853784501721502720,20 10 17.64,-21 46 50.90,DA,9545.0,7.944,26.91,14.4,
LAWD 86,Gaia EDR3 2274076297221555968,21 26 57.87,73 38 39.64,DA,15553.0,7.945,22.23,12.88,13.311
LAWD 88,Gaia EDR3 2300234782654298624,21 33 45.81,83 03 41.51,DA,17312.3009,7.922936,26.42,,
LAWD 96,Gaia EDR3 4994877094997259264,00 02 11.62,-43 10 06.38,DA,8506.0,8.38,8.33,12.97,
LHS 1093,Gaia EDR3 2528728726428345216,00 32 10.54,-02 53 59.22,DA,4470.0,8.07,23.54,17.32,19.912
LHS 1158,Gaia EDR3 2356519298275043200,00 51 11.51,-20 28 03.14,DA,4895.0,7.923,26.92,17.19,
LHS 1219,Gaia EDR3 2533575369771883648,01 15 05.28,-01 33 15.95,DA,5215.0,8.059,34.00,17.59,19.322
LHS 1233,Gaia EDR3 2456160271800004096,01 19 31.91,-14 15 36.12,DA,5050.0,7.905,25.40,16.96,
LHS 2559,Gaia EDR3 1518943638389520384,12 26 34.71,35 13 09.88,DA,5089.0,7.806,34.92,,19.39
LP 154-64,Gaia EDR3 439494077735062144,02 56 17.25,49 54 38.88,DA,5923.6132,8.109912,37.72,17.1,
LP 244-8,Gaia EDR3 318528007466920192,01 48 40.44,36 15 27.28,DA,6105.88157,8.067063,35.19,16.76,
LP 349-41,Gaia EDR3 2807462655009880320,00 33 25.85,25 06 16.30,DA,6278.0,8.017,38.31,,17.88
LP 426-26,Gaia EDR3 6578616598584224640,21 38 49.29,-40 41 26.93,DA,19211.0,7.959,32.43,13.49,
LP 581-35,Gaia EDR3 2711324446359728384,22 55 56.09,05 45 18.36,DA,5881.0,7.962,24.80,15.71,17.368
LP 645-70,Gaia EDR3 2522401586766106624,00 40 56.31,-08 09 14.80,DA,6040.0,8.266,37.43,,18.44689
LP 659-7,Gaia EDR3 3024247796382652800,05 59 00.94,-04 14 30.95,DA,6070.0,8.086,38.04,17.0,
LP 676-58,Gaia EDR3 3629758603668233728,13 04 46.07,-05 28 37.65,DA,5215.0,8.024,29.11,17.12,
LP 703-6,J235232.30-025309.2,23 52 32.60,-02 53 07.19,DA,10680.0,9.367,29.99,16.98,17.185
LP 714-52,Gaia EDR3 3191738120628213760,04 19 20.95,-09 34 30.82,DAP,6015.0,8.35,36.66,17.417,
LP 775-28,Gaia EDR3 2978374522004181888,04 32 00.40,-19 20 54.05,DA,5720.0,8.018,33.96,16.97,
LP 775-37,Gaia EDR3 3173236054352419072,04 41 05.15,-15 19 01.02,DA,6005.0,8.015,37.08,16.83,
LP 776-52,Gaia EDR3 2976789094955826560,05 05 32.31,-17 31 41.89,DA,6140.0,8.179,38.45,17.194,
LP 777-3,Gaia EDR3 2986473765172532864,05 08 36.66,-15 23 03.12,DA,5215.0,8.068,37.44,17.717,
LP 815-31,Gaia EDR3 6862687522250677376,20 31 09.36,-16 58 40.89,DAZ,5506.0,7.926,22.82,16.28,
LP 832-30,Gaia EDR3 5088251195844051328,03 36 34.36,-22 15 27.64,DAZ,5860.0,7.949,38.46,17.16,
LP 856-26,Gaia EDR3 6275184065428686464,13 59 07.44,-23 33 28.07,DA,9308.0,7.978,33.57,14.96,
LSPM J0543+3637,Gaia EDR3 3455921181049073280,05 43 07.16,36 37 00.31,DAZ,6410.0,8.048,22.23,,
LSPM J0939+4951,Gaia EDR3 826275295988399232,09 39 31.09,49 51 48.07,DA,6072.0,8.391,34.15,,18.45
LSPM J1916+8044,Gaia EDR3 2295446546953958272,19 16 47.59,80 44 32.71,DA,5286.32493,8.061434,35.42,,
LSR J0541+3959,Gaia EDR3 190998058945380608,05 41 04.33,39 59 39.02,DA,5688.16087,8.162846,36.39,,
LSR J1945+4650A,Gaia EDR3 2080526555267050496,19 45 29.65,46 50 09.05,DA,5360.56472,8.113526,28.81,,
Lan 51,Gaia EDR3 2176116580055936512,21 18 56.11,54 12 44.34,DA,16533.0,8.164,17.31,12.35,13.381
NAME CASE 3,Gaia EDR3 1923682286712356992,23 31 36.03,41 01 29.11,DA,16370.3216,7.980926,35.69,,
NAME H PER1166,Gaia EDR3 458558784733311232,02 17 33.86,57 06 46.97,DA,21463.6335,7.987181,39.75,,
NLTT 12934,Gaia EDR3 229143725086190336,04 18 05.48,42 10 58.81,DA,5013.50644,7.826904,29.66,17.06,
