T:,5000,5250,5500,5750,6000,6250,6500,6750,7000,7250,7500,7750,8000,8250,8500,8750,9000,9250,9500,9750,10000,10250,10500,10750,11000,11250,11500,11750,12000,12250,12500,12750,13000,13250,13500,13750,14000,14250,14500,14750,15000,15250,15500,15750,16000,16250,16500,16750,17000,17250,17500,17750,18000,18250,18500,18750,19000,19250,19500,19750,20000,21000,22000,23000,24000,25000,26000,27000,28000,29000,30000,32000,34000,36000,38000,40000
qcvz:,-5.624,-5.67,-5.716,-5.757,-5.796,-5.826,-5.858,-5.882,-5.901,-5.916,-5.93,-5.94,-5.947,-5.949,-5.957,-5.957,-5.958,-5.962,-5.96,-5.96,-5.957,-5.952,-5.95,-5.953,-5.963,-5.971,-5.976,-5.989,-5.999,-6.011,-6.023,-6.045,-6.066,-6.094,-6.124,-6.153,-6.19,-6.225,-6.26,-6.302,-6.343,-6.389,-6.438,-6.487,-6.544,-6.602,-6.663,-6.732,-6.804,-6.885,-6.965,-7.051,-7.147,-7.241,-7.344,-7.446,-7.56,-7.683,-7.813,-7.952,-8.104,-8.861,-9.797,-10.924,-11.704,-11.852,-11.99,-12.132,-12.289,-12.473,-12.681,-13.203,-13.991,-14.613,-14.774,-14.901
15,5.786,5.744,5.699,5.661,5.624,5.593,5.561,5.532,5.511,5.494,5.475,5.462,5.451,5.444,5.432,5.426,5.422,5.413,5.41,5.408,5.406,5.406,5.408,5.402,5.39,5.381,5.379,5.367,5.357,5.346,5.336,5.318,5.3,5.27,5.25,5.23,5.203,5.176,5.15,5.111,5.076,5.043,5.007,4.964,4.924,4.882,4.838,4.782,4.731,4.666,4.608,4.548,4.476,4.41,4.333,4.263,4.183,4.096,4.008,3.913,3.812,3.323,2.72,2.009,1.508,1.407,1.313,1.212,1.097,0.955,0.79,0.393,-0.168,-0.569,-0.677,-0.764
16,5.788,5.747,5.701,5.663,5.626,5.595,5.563,5.534,5.512,5.496,5.477,5.464,5.453,5.447,5.434,5.429,5.425,5.416,5.413,5.412,5.41,5.41,5.413,5.406,5.395,5.386,5.384,5.372,5.362,5.352,5.342,5.324,5.306,5.276,5.255,5.236,5.208,5.181,5.155,5.116,5.082,5.048,5.012,4.969,4.928,4.887,4.843,4.786,4.735,4.67,4.611,4.551,4.479,4.413,4.336,4.265,4.184,4.097,4.009,3.914,3.813,3.322,2.717,2.004,1.501,1.398,1.302,1.201,1.086,0.946,0.788,0.432,-0.069,-0.508,-0.629,-0.725
17,5.719,5.678,5.634,5.597,5.561,5.531,5.5,5.472,5.452,5.436,5.418,5.405,5.395,5.39,5.378,5.373,5.37,5.361,5.359,5.358,5.356,5.357,5.36,5.353,5.343,5.334,5.332,5.321,5.311,5.301,5.291,5.273,5.256,5.227,5.206,5.186,5.159,5.132,5.106,5.068,5.034,5.001,4.965,4.922,4.881,4.84,4.796,4.74,4.689,4.624,4.565,4.505,4.433,4.367,4.29,4.22,4.139,4.052,3.963,3.869,3.767,3.275,2.669,1.955,1.452,1.359,1.272,1.183,1.082,0.963,0.829,0.496,-0.015,-0.52,-0.663,-0.776
18,5.635,5.596,5.553,5.517,5.482,5.453,5.423,5.397,5.377,5.362,5.345,5.333,5.324,5.319,5.308,5.304,5.301,5.293,5.291,5.291,5.29,5.291,5.294,5.288,5.278,5.269,5.268,5.256,5.247,5.237,5.228,5.21,5.193,5.165,5.144,5.124,5.097,5.07,5.045,5.007,4.973,4.94,4.904,4.862,4.822,4.78,4.736,4.681,4.629,4.566,4.507,4.447,4.375,4.309,4.233,4.162,4.082,3.995,3.906,3.812,3.71,3.217,2.61,1.894,1.391,1.3,1.216,1.13,1.034,0.92,0.792,0.459,-0.098,-0.643,-0.778,-0.881
19,5.681,5.641,5.597,5.56,5.525,5.495,5.465,5.438,5.418,5.403,5.385,5.373,5.364,5.359,5.348,5.344,5.341,5.333,5.331,5.33,5.329,5.331,5.334,5.328,5.317,5.309,5.308,5.296,5.287,5.277,5.268,5.25,5.233,5.204,5.183,5.164,5.137,5.11,5.084,5.046,5.012,4.978,4.942,4.9,4.859,4.818,4.773,4.717,4.666,4.601,4.542,4.482,4.41,4.344,4.266,4.196,4.115,4.028,3.939,3.844,3.742,3.247,2.638,1.919,1.416,1.339,1.268,1.194,1.111,1.011,0.897,0.564,-0.065,-0.673,-0.823,-0.935
20,5.683,5.643,5.599,5.562,5.526,5.497,5.466,5.439,5.419,5.404,5.387,5.375,5.366,5.361,5.35,5.346,5.343,5.335,5.334,5.333,5.332,5.334,5.337,5.331,5.321,5.313,5.312,5.301,5.292,5.282,5.272,5.255,5.237,5.208,5.188,5.168,5.141,5.115,5.089,5.05,5.016,4.983,4.947,4.904,4.863,4.821,4.777,4.721,4.669,4.604,4.545,4.485,4.412,4.346,4.269,4.198,4.117,4.029,3.94,3.845,3.743,3.247,2.635,1.915,1.411,1.327,1.251,1.171,1.082,0.973,0.848,0.497,-0.105,-0.674,-0.815,-0.922
21,5.6,5.561,5.519,5.483,5.448,5.42,5.391,5.365,5.346,5.331,5.315,5.304,5.295,5.291,5.281,5.277,5.275,5.268,5.266,5.266,5.266,5.268,5.271,5.266,5.256,5.248,5.247,5.236,5.228,5.218,5.209,5.191,5.174,5.146,5.125,5.106,5.079,5.052,5.027,4.989,4.955,4.922,4.886,4.844,4.803,4.762,4.717,4.662,4.61,4.546,4.487,4.427,4.355,4.289,4.212,4.141,4.06,3.973,3.884,3.789,3.687,3.19,2.577,1.856,1.353,1.277,1.206,1.13,1.042,0.932,0.802,0.44,-0.169,-0.839,-0.954,-1.051
22,5.564,5.526,5.485,5.449,5.415,5.387,5.358,5.333,5.314,5.3,5.284,5.274,5.265,5.261,5.251,5.248,5.246,5.239,5.238,5.238,5.238,5.24,5.244,5.239,5.229,5.222,5.221,5.21,5.201,5.192,5.183,5.165,5.149,5.121,5.1,5.081,5.054,5.027,5.001,4.964,4.93,4.897,4.861,4.819,4.779,4.737,4.693,4.637,4.586,4.522,4.463,4.402,4.331,4.264,4.188,4.117,4.036,3.949,3.86,3.764,3.662,3.164,2.55,1.827,1.324,1.244,1.169,1.091,1.003,0.895,0.771,0.417,-0.252,-0.822,-0.951,-1.046
23,5.531,5.493,5.452,5.417,5.383,5.356,5.327,5.302,5.284,5.27,5.255,5.244,5.236,5.233,5.223,5.22,5.218,5.212,5.211,5.212,5.212,5.214,5.218,5.213,5.203,5.196,5.195,5.184,5.176,5.167,5.158,5.14,5.124,5.096,5.076,5.056,5.029,5.003,4.977,4.94,4.907,4.873,4.837,4.796,4.755,4.713,4.669,4.614,4.562,4.498,4.44,4.379,4.307,4.241,4.164,4.093,4.012,3.925,3.836,3.741,3.639,3.139,2.524,1.8,1.296,1.218,1.144,1.066,0.977,0.867,0.735,0.351,-0.261,-0.8,-0.935,-1.037
24,5.53,5.492,5.451,5.416,5.383,5.355,5.327,5.302,5.284,5.27,5.254,5.244,5.236,5.233,5.223,5.221,5.219,5.213,5.212,5.213,5.213,5.215,5.219,5.214,5.205,5.198,5.197,5.186,5.178,5.169,5.16,5.143,5.126,5.098,5.078,5.058,5.031,5.005,4.979,4.942,4.909,4.876,4.84,4.798,4.757,4.715,4.671,4.616,4.564,4.5,4.441,4.38,4.309,4.242,4.165,4.094,4.013,3.926,3.837,3.741,3.639,3.138,2.522,1.796,1.291,1.209,1.132,1.05,0.956,0.84,0.703,0.338,-0.266,-0.822,-0.946,-1.042
